,map,res_exp3
212,ALB1999,53358102.0
213,ALB2000,49121769.0
214,ALB2001,42694596.0
215,ALB2002,52378225.0
216,ALB2003,64395055.0
217,ALB2004,108310477.0
218,ALB2005,168208204.0
219,ALB2006,193291420.0
220,ALB2007,345127988.0
221,ALB2008,514057114.0
222,ALB2009,302588969.0
223,ALB2010,728701992.0
224,ALB2011,966779390.0
225,ALB2012,1042340765.0
226,ALB2013,1485079343.0
227,ALB2014,875309150.0
228,ALB2015,690501105.0
229,ALB2016,689081520.0
230,AND1962,7504.037841796875
231,AND1964,0.0
232,AND1965,0.0
233,AND1966,4100.7415771484375
234,AND1967,1582.0782470703125
235,AND1968,4130.06640625
236,AND1969,2649.2680053710938
237,AND1970,147903.1015625
238,AND1971,183496.86743164062
239,AND1972,229413.31091308594
240,AND1973,344921.8981933594
241,AND1974,888564.760635376
242,AND1975,512020.4531555176
243,AND1976,673516.7034912109
244,AND1977,817914.1161499023
245,AND1978,552146.6826171875
246,AND1979,1413305.9263916016
247,AND1980,3564397.784423828
248,AND1981,1622013.1794433594
249,AND1982,2818773.8580932617
250,AND1983,969057.5255126953
251,AND1984,1600302.350036621
252,AND1985,1942203.9848632812
253,AND1986,3615153.05078125
254,AND1987,1099615.048034668
255,AND1988,1939832.2229003906
256,AND1989,2889546.8223876953
257,AND1990,2751433.0
258,AND1991,5834133.0
259,AND1992,2785100.0
260,AND1993,1912487.0
261,AND1994,2499200.0
262,AND1995,3466269.0
263,AND1996,9491358.0
264,AND1997,3003384.0
265,AND1998,4516642.0
266,AND1999,4129262.0
267,AND2000,2429821.0
268,AND2001,12646023.0
269,AND2002,5372459.0
270,AND2003,11707396.0
271,AND2004,25102360.0
272,AND2005,44474739.0
273,AND2006,63435077.0
274,AND2007,14986026.0
275,AND2008,17067641.0
276,AND2009,19598540.0
277,AND2010,42965575.0
278,AND2011,8792980.0
279,AND2012,54894803.0
280,AND2013,5227747.0
281,AND2014,21919434.0
282,AND2015,7043081.0
283,AND2016,15822099.0
284,ANS1962,1645494360.1182861
285,ANS1963,1693347321.9608154
286,ANS1964,843881358.8587799
287,ANS1965,243384041.011261
288,ANS1966,311639500.2305603
289,ANS1967,338780202.37672424
290,ANS1968,343880713.7150879
291,ANS1969,332653873.0863037
292,ANS1970,1527262120.993454
293,ANS1971,1717078137.679199
294,ANS1972,1663354469.4674377
295,ANS1973,2772166735.436676
296,ANS1974,4337772578.805527
297,ANS1975,2514114285.6945496
298,ANS1976,3010356825.8341217
299,ANS1977,4016526652.6958923
300,ANS1978,1264579144.6846313
301,ANS1979,1198669691.2107239
302,ANS1980,17538788627.489746
303,ANS1981,9809706325.3974
304,ANS1982,10604258603.56366
305,ANS1983,8780770167.727112
306,ANS1984,7698425446.895813
307,ANS1985,9007077455.969727
308,ANS1986,8237772162.507904
309,ANS1987,9135190720.561127
310,ANS1988,6063329841.059326
311,ANS1989,8171545020.700256
312,ANS1990,8819651442.0
313,ANS1991,4822233767.0
314,ANS1992,3874449774.0
315,ANS1993,4525019391.0
316,ANS1994,5245046409.0
317,ANS1995,10740904337.0
318,ANS1996,7744887133.0
319,ANS1997,16629164916.0
320,ANS1998,14915132895.0
321,ANS1999,11220607898.0
322,ANS2000,8660026812.0
323,ANS2001,15037149655.0
324,ANS2002,16527843622.0
325,ANS2003,10626356603.0
326,ANS2004,10854719204.0
327,ANS2005,14014750570.0
328,ANS2006,25736484206.0
329,ANS2007,12343775646.0
330,ANS2008,18589628392.0
331,ANS2009,12780625277.0
332,ANS2010,14991513069.0
333,ANS2011,21528911444.0
334,ANS2012,22951754524.0
335,ANS2013,20349613474.0
336,ANS2014,22272950683.0
337,ANS2015,7558446150.0
338,ANS2016,6326288740.0
339,ANT1962,720823100.3686523
340,ANT1963,668640979.4154968
341,ANT1964,668930871.9524536
342,ANT1965,653550390.4294434
343,ANT1966,602220181.287384
344,ANT1967,611923041.7504883
345,ANT1968,622866134.8345032
346,ANT1969,599994965.0739136
347,ANT1970,645246947.4125977
348,ANT1971,646622621.4234619
349,ANT1972,626956702.7233582
350,ANT1973,1385756504.155243
351,ANT1974,2720176128.020874
352,ANT1975,2364232553.047058
353,ANT1976,2438841627.8893433
354,ANT1977,2492380340.8627014
355,ANT1978,1463784209.2078247
356,ANT1979,2629612873.588501
357,ANT1980,3852778062.654541
358,ANT1981,4128961761.383667
359,ANT1982,3655142891.7076416
360,ANT1983,3382367658.4207153
361,ANT1984,3220760229.170044
362,ANT1985,1396276857.9136963
363,ANT1986,856278328.4387817
364,ANT1987,795709699.5369262
365,ANT1988,691760802.9453125
366,ANT1989,748957496.4980469
367,ANT1990,881589722.0
368,ANT1991,1288614511.0
369,ANT1992,1246316218.0
370,ANT1993,857680655.0
371,ANT1994,1016024400.0
372,ANT1995,1015500907.0
373,ANT1996,1275485950.0
374,ANT1997,1069736494.0
375,ANT1998,1005300707.0
376,ANT1999,839619800.0
377,ANT2000,1167724192.0
378,ANT2001,971250005.0
379,ANT2002,655973714.0
380,ANT2003,715455074.0
381,ANT2004,931704383.0
382,ANT2005,1770010232.0
383,ANT2006,1913246344.0
384,ANT2007,1787021147.0
385,ANT2008,1441313504.0
386,ANT2009,1742426589.0
387,ANT2010,884290460.0
388,ARE1962,2254.35009765625
389,ARE1963,35956.55126953125
390,ARE1964,0.0
391,ARE1967,127982.00390625
392,ARE1968,3426722.8276214595
393,ARE1969,5250973.921783447
394,ARE1970,103625380.76391602
395,ARE1971,161650547.5006714
396,ARE1972,969062696.3129883
397,ARE1973,1911370440.1382751
398,ARE1974,6176117140.533508
399,ARE1975,6817039323.439575
400,ARE1976,8385908398.604553
401,ARE1977,8694745343.47998
402,ARE1978,8461463615.513367
403,ARE1979,10899203246.8172
404,ARE1980,18109488216.133118
405,ARE1981,18744878399.55652
406,ARE1982,15675047705.033934
407,ARE1983,13965849303.199707
408,ARE1984,13514184073.411804
409,ARE1985,13443269925.714966
410,ARE1986,8436149141.714111
411,ARE1987,9993852867.16211
412,ARE1988,9516058569.844666
413,ARE1989,12039561821.227232
414,ARE1990,17025101277.0
415,ARE1991,18256437402.0
416,ARE1992,16806533685.0
417,ARE1993,15149459748.0
418,ARE1994,14595546284.0
419,ARE1995,16750740855.0
420,ARE1996,20052328987.0
421,ARE1997,20897057611.0
422,ARE1998,15773131198.0
423,ARE1999,22879899855.0
424,ARE2000,35773209902.0
425,ARE2001,30666927317.0
426,ARE2002,23033055841.0
427,ARE2003,29253716624.0
428,ARE2004,40633286695.0
429,ARE2005,57165983492.0
430,ARE2006,74982156722.0
431,ARE2007,82750589146.0
432,ARE2008,121463968785.0
433,ARE2009,70064375685.0
434,ARE2010,107159052367.0
435,ARE2011,142040686813.0
436,ARE2012,148346280912.0
437,ARE2013,155881301321.0
438,ARE2014,154231252559.0
439,ARE2015,97177473063.0
440,ARE2016,82277274935.0
441,ARG1962,478781113.00750726
442,ARG1963,452147732.86846924
443,ARG1964,612149847.3965454
444,ARG1965,719687405.9381561
445,ARG1966,684865008.9012451
446,ARG1967,552801355.7973785
447,ARG1968,482714209.1726227
448,ARG1969,604372140.7231445
449,ARG1970,693273126.7954254
450,ARG1971,766164088.6232605
451,ARG1972,534959900.4749603
452,ARG1973,1281573532.1005857
453,ARG1974,2199767569.884346
454,ARG1975,1612717597.903183
455,ARG1976,1601028623.7072601
456,ARG1977,2222760262.975708
457,ARG1978,1192233210.0096436
458,ARG1979,1343028104.3423464
459,ARG1980,2977389866.207367
460,ARG1981,4841525653.398193
461,ARG1982,3410534239.125656
462,ARG1983,4228042054.914215
463,ARG1984,3563398649.633194
464,ARG1985,3855338338.315857
465,ARG1986,2500720778.458252
466,ARG1987,1828639233.8138428
467,ARG1988,2667259204.854126
468,ARG1989,3681842806.748291
469,ARG1990,4630449642.0
470,ARG1991,3876805974.0
471,ARG1992,4145320413.0
472,ARG1993,4059128448.0
473,ARG1994,4510687695.0
474,ARG1995,6178998839.0
475,ARG1996,8138605152.0
476,ARG1997,9075261921.0
477,ARG1998,8224231401.0
478,ARG1999,7480005338.0
479,ARG2000,9689240240.0
480,ARG2001,9637859840.0
481,ARG2002,9605346839.0
482,ARG2003,10694752470.0
483,ARG2004,12410853621.0
484,ARG2005,13294758700.0
485,ARG2006,14695215813.0
486,ARG2007,16279777300.0
487,ARG2008,20630927344.0
488,ARG2009,14604093777.0
489,ARG2010,17060666101.0
490,ARG2011,21011746218.0
491,ARG2012,22491981668.0
492,ARG2013,18661781029.0
493,ARG2014,14806705191.0
494,ARG2015,11327520319.0
495,ARG2016,13300346027.0
496,ARM1992,8965211.0
497,ARM1993,30427186.0
498,ARM1994,38176833.0
499,ARM1995,47208466.0
500,ARM1996,67836493.0
501,ARM1997,131545057.0
502,ARM1998,103123214.0
503,ARM1999,122800525.0
504,ARM2000,179826291.0
505,ARM2001,138990102.0
506,ARM2002,263766788.0
507,ARM2003,452942749.0
508,ARM2004,405439528.0
509,ARM2005,632394746.0
510,ARM2006,764348598.0
511,ARM2007,734144563.0
512,ARM2008,622394427.0
513,ARM2009,444315917.0
514,ARM2010,664000380.0
515,ARM2011,873967930.0
516,ARM2012,776175055.0
517,ARM2013,751116584.0
518,ARM2014,855802713.0
519,ARM2015,847233124.0
520,ARM2016,1348112966.0
521,ASM2000,4321097.0
522,ASM2001,1729738.0
523,ASM2002,4918911.0
524,ASM2003,6034151.0
525,ASM2004,3136197.0
526,ASM2005,1706121.0
527,ASM2006,81995667.0
528,ASM2007,14978586.0
529,ASM2008,7811474.0
530,ASM2009,3123723.0
531,ASM2010,2940847.0
532,ASM2011,5537409.0
533,ASM2012,36896672.0
534,ASM2013,3682699.0
535,ASM2014,2716749.0
536,ASM2015,1426134.0
537,ASM2016,5995261.0
538,ATA2000,1152517.0
539,ATA2001,24391.0
540,ATA2002,46466.0
541,ATA2003,2442.0
542,ATA2004,14327.0
543,ATA2005,6600.0
544,ATA2006,16022.0
545,ATA2007,13538.0
546,ATA2008,732867.0
547,ATA2009,36787.0
548,ATA2010,101609.0
