,oil_rents,map
107,4.41105606416517,CSS2008
108,2.4766320087920897,CSS2009
109,3.0451025424790696,CSS2010
110,4.11285222199038,CSS2011
111,3.4732104713872998,CSS2012
112,3.2087949033823198,CSS2013
113,2.82572344888727,CSS2014
114,1.09917127786639,CSS2015
115,0.778648536107606,CSS2016
116,1.2627494920766102,CSS2017
117,,CSS2018
118,,CEB1960
119,,CEB1961
120,,CEB1962
121,,CEB1963
122,,CEB1964
123,,CEB1965
124,,CEB1966
125,,CEB1967
126,,CEB1968
127,,CEB1969
128,,CEB1970
129,,CEB1971
130,,CEB1972
131,,CEB1973
132,,CEB1974
133,,CEB1975
134,,CEB1976
135,,CEB1977
136,,CEB1978
137,,CEB1979
138,0.101652106228459,CEB1980
139,0.0780311152547768,CEB1981
140,0.0441069442903987,CEB1982
141,0.0760457469439986,CEB1983
142,0.100724297969376,CEB1984
143,0.159433114591859,CEB1985
144,0.0553150052935613,CEB1986
145,0.9374325394738171,CEB1987
146,0.7190606181718421,CEB1988
147,1.12401310170342,CEB1989
148,0.4919894414331671,CEB1990
149,0.21618606561821396,CEB1991
150,0.210276019436399,CEB1992
151,0.19577176134623103,CEB1993
152,0.15727830183589098,CEB1994
153,0.147414320873121,CEB1995
154,0.185531822330188,CEB1996
155,0.143687116675925,CEB1997
156,0.032098387988597994,CEB1998
157,0.11658182115532902,CEB1999
158,0.265634903361327,CEB2000
159,0.180399891174092,CEB2001
160,0.16862410585903,CEB2002
161,0.160410108102534,CEB2003
162,0.17771883439151603,CEB2004
163,0.207921975365774,CEB2005
164,0.20723228331222798,CEB2006
165,0.170994196322006,CEB2007
166,0.20079591884127101,CEB2008
167,0.12544208729859802,CEB2009
168,0.17374809055840398,CEB2010
169,0.23517126492463197,CEB2011
170,0.23738891094937303,CEB2012
171,0.212487282993463,CEB2013
172,0.17931713446308398,CEB2014
173,0.0841365319708445,CEB2015
174,0.0644795548250022,CEB2016
175,0.0861706043378665,CEB2017
176,,CEB2018
177,,EAR1960
178,,EAR1961
179,,EAR1962
180,,EAR1963
181,,EAR1964
182,,EAR1965
183,,EAR1966
184,,EAR1967
185,,EAR1968
186,,EAR1969
187,2.31947731880515,EAR1970
188,2.4553390062144502,EAR1971
189,3.02596982409619,EAR1972
190,4.185552783694259,EAR1973
191,13.5659988386905,EAR1974
192,10.9848617403809,EAR1975
193,12.558664444626698,EAR1976
194,12.1214039153714,EAR1977
195,10.750059015632301,EAR1978
196,20.234519911661998,EAR1979
197,17.8685566502177,EAR1980
198,13.8821499167242,EAR1981
199,9.52854472571096,EAR1982
200,9.62189962025371,EAR1983
201,9.137908816933551,EAR1984
202,7.911844135252419,EAR1985
203,4.08704408707691,EAR1986
204,5.7688092182955195,EAR1987
205,4.5656945751293705,EAR1988
206,6.786173758101599,EAR1989
207,9.348019473954231,EAR1990
208,5.31294098458217,EAR1991
209,5.15332996120033,EAR1992
210,5.17732011148535,EAR1993
211,4.5803349582706705,EAR1994
212,4.97657952948967,EAR1995
213,5.99859473018487,EAR1996
214,5.0657666949182,EAR1997
215,3.01169696832538,EAR1998
216,4.28033494057635,EAR1999
217,7.08575928274652,EAR2000
218,5.545581370247941,EAR2001
219,5.70227549809049,EAR2002
220,6.4192755762845195,EAR2003
221,7.72395215324075,EAR2004
222,9.87268842342055,EAR2005
223,10.0748728838165,EAR2006
224,8.75679454468592,EAR2007
225,10.5651703905553,EAR2008
226,5.719880124564919,EAR2009
227,6.530332659609151,EAR2010
228,8.57201816810566,EAR2011
229,8.35024990309905,EAR2012
230,7.51748343265088,EAR2013
231,6.39696675268392,EAR2014
232,2.99254328399914,EAR2015
