,eci3,map
0,-1.835551053596464,ABW1988
1,-0.7218511399891788,AFG1988
2,-1.1503806126818896,AGO1988
3,1.6805528047823952,AIA1988
4,-0.020304949482154985,ALB1988
5,0.6189083984679574,AND1988
6,2.0815759748644904,ANS1988
7,0.7360365516140799,ANT1988
8,1.0337236189932046,ARE1988
9,-0.7998103788259554,ARG1988
10,2.5811582097906154,ATF1988
11,-0.10598926839174387,ATG1988
12,0.001510031977017388,AUS1988
13,1.9722557822988127,AUT1988
14,-1.1948925865853557,BDI1988
15,1.116362730168854,BEL1988
16,-1.1479313448158337,BEN1988
17,-0.9961489154422788,BFA1988
18,-0.6367643696208904,BGD1988
19,0.31520077768686755,BGR1988
20,0.2897155757357913,BHR1988
21,0.631093087969427,BHS1988
22,-1.0771895134067662,BLZ1988
23,0.8218853842428571,BMU1988
24,-1.2115617173608464,BOL1988
25,0.5871408153741793,BRA1988
26,-0.6861765937193665,BRB1988
27,1.7506154941949352,BRN1988
28,0.7395534898980124,BTN1988
29,-1.5441059986449537,BWA1988
30,-1.1049120771939016,CAF1988
31,0.19450668836875032,CAN1988
32,1.1099067075437783,CCK1988
33,1.6046425792795018,CHE1988
34,-0.5316122620882088,CHL1988
35,0.5814290028722945,CHN1988
36,-0.936413500183178,CIV1988
37,-1.0689411111690903,CMR1988
38,-0.3475675402240516,COD1988
39,-1.1766178381893089,COG1988
40,-0.024121832597501648,COK1988
41,-0.4304456194856501,COL1988
42,-1.1622454210215765,COM1988
43,-1.3999750604740278,CPV1988
44,-0.0476881068151908,CRI1988
45,2.019502560964653,CSK1988
46,-0.2911179751483963,CUB1988
47,0.12361684017419346,CXR1988
48,0.8535454996824321,CYM1988
49,0.017055558809613895,CYP1988
50,2.250677053432629,DEU1988
51,1.9533139502473211,DJI1988
52,-0.19571124397092665,DMA1988
53,0.4225185132479603,DNK1988
54,-0.05258830031902149,DOM1988
55,0.4751579809211635,DZA1988
56,-0.8149786734507153,ECU1988
57,-0.8938689911139927,EGY1988
58,0.8876304678325797,ESH1988
59,0.9305298237720055,ESP1988
60,-0.9034884059052982,ETH1988
61,0.7295746703741758,FIN1988
62,-1.0427436690125491,FJI1988
63,-0.1444117230848361,FLK1988
64,0.7775597191030399,FRA1988
65,-0.5209163410394253,FRO1988
66,-0.9881729725167108,GAB1988
67,1.2008212359018362,GBR1988
68,-0.821386707634745,GHA1988
69,2.107047427792574,GIB1988
70,-1.1598340492271595,GIN1988
71,0.57666283796637,GLP1988
72,-1.5153966950788766,GMB1988
73,-1.1117635348697572,GNB1988
74,-0.8128374576931157,GNQ1988
75,-0.6442096649521171,GRC1988
76,-0.6703521671481689,GRD1988
77,-0.9930398989666328,GRL1988
78,0.2614373543057638,GTM1988
79,0.33575252204174066,GUF1988
80,0.568389611378307,GUY1988
81,1.775321539864939,HKG1988
82,-0.4539395847842454,HND1988
83,0.3813000793660692,HTI1988
84,0.6345648676098437,HUN1988
85,-0.290508420777755,IDN1988
86,0.04310508067942848,IND1988
87,0.7108987028434466,IOT1988
88,1.2422521064380023,IRL1988
89,-0.6514796196131277,IRN1988
90,0.28216044852000177,IRQ1988
91,-0.8978168653498303,ISL1988
92,0.4887327537203077,ISR1988
93,1.5076019480173466,ITA1988
94,-0.3568511208658821,JAM1988
95,-0.5371416102559959,JOR1988
96,3.709857078309904,JPN1988
97,-0.8120016179507882,KEN1988
98,-0.04320008779108246,KHM1988
99,-0.9516654401726312,KIR1988
100,0.7209901835561342,KNA1988
101,1.78227862221648,KOR1988
102,-0.6517250664385239,KWT1988
103,-0.6893540493090627,LAO1988
104,0.8904907633981682,LBN1988
105,0.2637745516382808,LBR1988
106,0.097712272232741,LBY1988
107,-0.06844417225898419,LCA1988
108,-0.7735042907597286,LKA1988
109,-1.7702874900233618,LSO1988
110,1.0681738219433254,MAC1988
111,-0.4000783278477951,MAR1988
112,-0.9001561157644369,MDG1988
113,-0.6504095358952988,MDV1988
114,0.8431123413244754,MEX1988
115,-0.9337661679127379,MLI1988
116,0.8672318398366935,MLT1988
117,-0.8237409962588477,MMR1988
118,-1.0343270194030687,MNG1988
119,-0.6814559244994948,MOZ1988
120,-0.9930398989666328,MRT1988
121,1.7220954907837114,MSR1988
122,0.37408829541960703,MTQ1988
123,0.05924269140208701,MUS1988
124,-0.6944794408155119,MWI1988
125,0.2527582261041401,MYS1988
126,0.2707127584261021,NCL1988
127,-1.079885491140999,NER1988
128,0.05147942255830016,NFK1988
129,-1.1139291748470816,NGA1988
130,-0.9412650730293024,NIC1988
131,0.5034100827770067,NIU1988
132,0.2648202211954025,NLD1988
133,0.2800103495923764,NOR1988
134,-0.8487063729105672,NPL1988
135,0.5722448827942171,NRU1988
136,0.03839226832517364,NZL1988
137,1.9869784326384987,OMN1988
138,-0.8309951874603856,PAK1988
139,-0.2832851928870212,PAN1988
140,0.1553915565273749,PCI1988
141,0.800361907167603,PCN1988
142,-0.5175568160491734,PER1988
143,-0.1303713996278852,PHL1988
144,-1.3793400296622138,PNG1988
145,0.9221211077538154,POL1988
146,0.4774416721030686,PRK1988
147,0.43795471436567857,PRT1988
148,-0.4882943761289125,PRY1988
149,0.36501734518553053,PYF1988
150,0.5153184462436202,QAT1988
151,0.9228098707622452,REU1988
152,0.6645449062928639,ROU1988
153,-1.058173554763281,RWA1988
154,0.5244303434688043,SAU1988
155,-1.1887393416984957,SDN1988
156,-1.142770080140623,SEN1988
157,0.6771544538682913,SGP1988
158,0.8233897085968388,SHN1988
159,-1.1050093292384402,SLB1988
160,-1.1559899965840077,SLE1988
