,eci1,map
0,-1.5617869985946355,ABW1988
1,-0.6702885283829089,AFG1988
2,-0.9029734286088584,AGO1988
3,1.2789554448759095,AIA1988
4,-0.22870149331222664,ALB1988
5,0.7529146790400018,AND1988
6,1.6294177963967096,ANS1988
7,0.4747070189548115,ANT1988
8,1.1474354978231966,ARE1988
9,-0.4890076612755271,ARG1988
10,2.379296842282521,ATF1988
11,-0.3483169719416789,ATG1988
12,-0.12189066074167038,AUS1988
13,1.990559940711355,AUT1988
14,-1.2504730107224833,BDI1988
15,1.218241127143732,BEL1988
16,-0.9801593388110246,BEN1988
17,-1.0517421606934425,BFA1988
18,-0.6815803362224888,BGD1988
19,0.4054563658650301,BGR1988
20,0.217970397303804,BHR1988
21,0.6798823669517308,BHS1988
22,-0.9332515639559534,BLZ1988
23,1.067518123654701,BMU1988
24,-0.9702828155115494,BOL1988
25,0.4960676119063062,BRA1988
26,-0.30556016237948674,BRB1988
27,2.2876421278114623,BRN1988
28,0.6177901671638193,BTN1988
29,-1.2650827109767906,BWA1988
30,-0.8626431138197518,CAF1988
31,0.273607031474988,CAN1988
32,1.2260456557964832,CCK1988
33,1.7393946069180355,CHE1988
34,-0.6176084472341711,CHL1988
35,0.7009700855230978,CHN1988
36,-0.9510973275771932,CIV1988
37,-1.0251872250466787,CMR1988
38,-0.6640733563639537,COD1988
39,-0.9772380565781776,COG1988
40,-0.005153174282036396,COK1988
41,-0.3688784125224263,COL1988
42,-1.1482006645291556,COM1988
43,-1.3339863180484428,CPV1988
44,-0.3731367656740609,CRI1988
45,1.9699314641327632,CSK1988
46,-0.7918217807389731,CUB1988
47,0.0591291979060915,CXR1988
48,0.658602520389136,CYM1988
49,0.10828170828176026,CYP1988
50,2.583007599926454,DEU1988
51,1.3843809603767192,DJI1988
52,0.13862268096273692,DMA1988
53,0.7310293876959466,DNK1988
54,-0.06712957144347903,DOM1988
55,0.6007710282553742,DZA1988
56,-0.8358255844032242,ECU1988
57,-0.6553863480360673,EGY1988
58,0.8612988337867941,ESH1988
59,1.31551301839586,ESP1988
60,-0.8857958201921274,ETH1988
61,1.297770164144351,FIN1988
62,-1.1006825404196825,FJI1988
63,0.28505439966403906,FLK1988
64,1.1389159737562289,FRA1988
65,-0.5037936243222785,FRO1988
66,-0.980244696095516,GAB1988
67,1.5826054469149422,GBR1988
68,-0.5837587353571586,GHA1988
69,1.9309741007239003,GIB1988
70,-0.7530334672244859,GIN1988
71,0.20924383460158144,GLP1988
72,-1.2470399885997905,GMB1988
73,-1.1156330514328834,GNB1988
74,-1.0962621998440452,GNQ1988
75,-0.31241828192085497,GRC1988
76,-0.6894715357672528,GRD1988
77,-1.1652510074883389,GRL1988
78,0.05125328828133692,GTM1988
79,-0.007553809043060337,GUF1988
80,-0.43810155698245773,GUY1988
81,1.8590150043843239,HKG1988
82,-0.5480618723080471,HND1988
83,0.266123800428701,HTI1988
84,0.6532378575882428,HUN1988
85,-0.7362957249770928,IDN1988
86,-0.3123248943135813,IND1988
87,0.5698628776242534,IOT1988
88,1.1497598894844712,IRL1988
89,-0.6091413243648337,IRN1988
90,0.2838055451730986,IRQ1988
91,-0.6847970944642549,ISL1988
92,0.7839277986713018,ISR1988
93,1.9015140885702615,ITA1988
94,-0.5264660818391157,JAM1988
95,-0.3238392182033332,JOR1988
96,3.9507753978903417,JPN1988
97,-1.063426169493954,KEN1988
98,0.03385345221595181,KHM1988
99,-0.8385411433091743,KIR1988
100,0.6988947649910456,KNA1988
101,2.0020445545436543,KOR1988
102,-0.5297459321290708,KWT1988
103,-1.2164667446420052,LAO1988
104,0.7809917926356927,LBN1988
105,-0.5160594191615394,LBR1988
106,0.3836928973092568,LBY1988
107,0.1856275070245857,LCA1988
108,-0.6180055322932313,LKA1988
109,-1.4995914824380627,LSO1988
110,1.4473519048383203,MAC1988
111,-0.1662005872583724,MAR1988
112,-0.7902026852636522,MDG1988
113,-0.6907166102947817,MDV1988
114,0.7215954536754534,MEX1988
115,-0.9142075883503225,MLI1988
116,0.9425983107970856,MLT1988
117,-0.9614868577058976,MMR1988
118,-0.9864614457133164,MNG1988
119,-0.24738507720430075,MOZ1988
120,-1.1652510074883389,MRT1988
121,1.3180191226331759,MSR1988
122,0.9774386167242972,MTQ1988
123,-0.10319523670256396,MUS1988
124,-0.9225121683892984,MWI1988
125,0.0586661320998032,MYS1988
126,0.17021139107006664,NCL1988
127,-0.9618478442620464,NER1988
128,0.2045820624203893,NFK1988
129,-1.1120032798516193,NGA1988
130,-0.8979854592552661,NIC1988
131,0.7041692327400665,NIU1988
132,0.3351390740831958,NLD1988
133,0.6602430107530234,NOR1988
134,-0.8545896914964567,NPL1988
135,-0.17426407477686545,NRU1988
136,0.2387244786602365,NZL1988
137,1.1420402251545123,OMN1988
