code,year,residual
CRI,2003,0.6874024646725883
CRI,2004,0.437600452399703
CRI,2005,0.875469407740306
CRI,2006,0.9072953154231105
CRI,2007,0.7981070752064474
CRI,2008,0.49799690865012264
CRI,2009,0.845179330094446
CRI,2010,0.7922754623108527
CRI,2011,0.6055014885532826
CRI,2012,0.8584690220898509
CRI,2013,0.7265645409221877
CRI,2014,0.5859377768539018
CRI,2015,0.447342873764559
CRI,2016,0.13270712405270904
CUB,1970,0.20468339099411043
CUB,1971,0.43672197094541976
CUB,1972,-0.521598512148496
CUB,1973,-0.5219116383470537
CUB,1974,-0.36903355538131716
CUB,1975,-0.5277428704941614
CUB,1976,-0.8477739253975467
CUB,1977,-0.3855094415894012
CUB,1978,-0.12280987258560522
CUB,1979,0.03689846723910514
CUB,1980,0.05219874931418833
CUB,1981,0.40080213278993343
CUB,1982,0.1217766104943823
CUB,1983,0.29296619851586353
CUB,1984,0.1210713596253925
CUB,1985,-0.06734245169695816
CUB,1986,-0.12183922577398126
CUB,1987,-0.1419314039854385
CUB,1988,-0.4184188424681937
CUB,1989,-0.2910105488361814
CUB,1990,-0.033687629413977155
CUB,1991,-0.20857568360350215
CUB,1992,0.29844044213455595
CUB,1993,0.2997295466563166
CUB,1994,-0.23418693104984062
CUB,1995,-0.2468827604811763
CUB,1996,-0.3658180089215177
CUB,1997,-0.29309623183133904
CUB,1998,-0.08944644867251769
CUB,1999,-0.0910879851540041
CUB,2000,-0.20715578686537917
CUB,2001,0.07520701949899294
CUB,2002,0.09050057084329632
CUB,2003,0.3226191320553054
CUB,2004,0.8604347514697664
CUB,2005,0.6829703349707031
CUB,2006,-0.05377694902804908
CUB,2007,-0.11450007346701369
CUB,2008,0.458902604794222
CUB,2009,0.14470263715284531
CUB,2010,-0.14056304316257928
CUB,2011,-0.1632524322843591
CUB,2012,0.25419573014401703
CUB,2013,0.47860536881060645
CUB,2014,0.12670718801779435
CUB,2015,0.19909719446281285
CUB,2016,-0.1450583863447208
CYM,2005,-0.7314757764181545
CYM,2006,-1.8867886203424624
CYP,1975,0.43180979603983694
CYP,1976,0.48070848320165294
CYP,1977,0.7229179357226772
CYP,1978,0.6263156040575748
CYP,1979,0.8534103122222658
CYP,1980,0.6160029305177054
CYP,1981,0.5416843440779913
CYP,1982,0.4848629090430259
CYP,1983,0.17010240102980376
CYP,1984,0.6037438126828921
CYP,1985,0.053350034844613536
CYP,1986,-0.1683257335944039
CYP,1987,-0.19587570720494502
CYP,1988,0.20903065040929514
CYP,1989,0.15290828497520126
CYP,1990,0.008225868550751483
CYP,1991,-0.1799945261916016
CYP,1992,0.11775862558394828
CYP,1993,0.1770721445836484
CYP,1994,-0.7278816498774979
CYP,1995,-0.5159520781002885
CYP,1996,-0.6670057574636219
CYP,1997,-0.4969510294522733
CYP,1998,-1.2379254254722258
CYP,1999,-1.3245922865867161
CYP,2000,-0.7042256855512873
CYP,2001,-0.9956486866966764
CYP,2002,-0.7191900225852517
CYP,2003,-0.7161678664490079
CYP,2004,-1.1588082686608674
CYP,2005,-0.6068360337958548
CYP,2006,-0.6932297124502556
CYP,2007,-0.7520625141946227
CYP,2008,-1.118095428504869
CYP,2009,-1.0484013190012864
CYP,2010,-0.8862699387132091
CYP,2011,-0.8096173638439553
CYP,2012,-0.8837677652194702
CYP,2013,-0.9609495260687022
CYP,2014,-1.1938657948428235
CYP,2015,-1.2667551797235084
CYP,2016,-1.1426395177982478
CZE,1993,0.3250471273785232
CZE,1994,1.036142515792366
CZE,1995,0.8804375676624094
CZE,1996,1.5014308409755373
