,map,gdp_pc
248,AND1972,4217.17358114253
249,AND1973,5342.168560442079
250,AND1974,6319.73903384837
251,AND1975,7169.101005595559
252,AND1976,7152.375133610509
253,AND1977,7751.37021575891
254,AND1978,9129.7061851808
255,AND1979,11820.8493928325
256,AND1980,12377.4116456877
257,AND1981,10372.232834745
258,AND1982,9610.26630831575
259,AND1983,8022.654781281609
260,AND1984,7728.90669456943
261,AND1985,7774.3938290347805
262,AND1986,10361.8159820255
263,AND1987,12616.167565929
264,AND1988,14304.356964578501
265,AND1989,15166.437850753999
266,AND1990,18878.5059692988
267,AND1991,19532.5401504525
268,AND1992,20547.7117897897
269,AND1993,16516.4710272204
270,AND1994,16234.809010201201
271,AND1995,18461.0648581512
272,AND1996,19017.1745902241
273,AND1997,18353.0597218473
274,AND1998,18894.5214963227
275,AND1999,19261.7105038886
276,AND2000,21936.530101470802
277,AND2001,22228.8464928922
278,AND2002,24741.4935704562
279,AND2003,32776.4422698769
280,AND2004,38503.479614485695
281,AND2005,41282.0201219785
282,AND2006,43748.772158899905
283,AND2007,48582.808455086604
284,AND2008,47785.6590856793
285,AND2009,43339.3798746543
286,AND2010,39736.3540626699
287,AND2011,41098.766941722795
288,AND2012,38391.080866978504
289,AND2013,40619.711297779504
290,AND2014,42294.9947269717
291,AND2015,36038.2676044596
292,AND2016,37231.8156714154
293,AND2017,39146.5488360906
294,AND2018,
295,ARB1960,
296,ARB1961,
297,ARB1962,
298,ARB1963,
299,ARB1964,
300,ARB1965,
301,ARB1966,
302,ARB1967,
303,ARB1968,221.318655298764
304,ARB1969,236.37413549776798
305,ARB1970,259.038188121913
306,ARB1971,291.97828919422403
307,ARB1972,338.772529052418
308,ARB1973,417.333076125596
309,ARB1974,770.622449867451
310,ARB1975,827.2752477957471
311,ARB1976,996.6210186652561
312,ARB1977,1113.38802151824
313,ARB1978,1182.8807326407598
314,ARB1979,1549.9204683960902
315,ARB1980,2041.46184173613
316,ARB1981,2032.45925233745
317,ARB1982,1847.2446342361602
318,ARB1983,1682.70322333577
319,ARB1984,1655.7276869867098
320,ARB1985,1590.2271631176502
321,ARB1986,1473.51360570845
322,ARB1987,1526.05182629005
323,ARB1988,1458.75529444826
324,ARB1989,1487.73911290612
325,ARB1990,1988.5678577178
326,ARB1991,1908.9792663789603
327,ARB1992,2006.79584442971
328,ARB1993,1977.46152737004
329,ARB1994,1970.86055871284
330,ARB1995,2054.38431750339
331,ARB1996,2217.4173250239396
332,ARB1997,2301.16173011528
333,ARB1998,2173.42102425352
334,ARB1999,2317.0384731676604
335,ARB2000,2590.2224381803603
336,ARB2001,2495.93988414441
337,ARB2002,2463.3985870873803
338,ARB2003,2722.37872638538
339,ARB2004,3119.16488744331
340,ARB2005,3747.3129771783397
341,ARB2006,4338.38573835633
342,ARB2007,4939.53000018201
343,ARB2008,6116.581228995339
344,ARB2009,5159.34276314128
345,ARB2010,5918.31589094969
346,ARB2011,6856.035033356071
347,ARB2012,7465.13522965428
348,ARB2013,7510.72998639458
349,ARB2014,7456.598172696121
350,ARB2015,6429.1708402657705
351,ARB2016,6183.07922159315
352,ARB2017,6235.42057813414
353,ARB2018,
354,ARE1960,
355,ARE1961,
356,ARE1962,
357,ARE1963,
358,ARE1964,
359,ARE1965,
360,ARE1966,
361,ARE1967,
362,ARE1968,
363,ARE1969,
364,ARE1970,
365,ARE1971,
366,ARE1972,
367,ARE1973,
368,ARE1974,
369,ARE1975,26556.080029911
370,ARE1976,29698.169222099303
371,ARE1977,33245.8360986374
372,ARE1978,27897.3270935772
373,ARE1979,32798.4782338538
374,ARE1980,41825.995457574
375,ARE1981,44012.333067279
376,ARE1982,39193.7409726279
377,ARE1983,34159.0373526707
378,ARE1984,31709.2543340905
379,ARE1985,29189.1677892304
380,ARE1986,23056.1045271808
381,ARE1987,23312.9295261613
382,ARE1988,21907.5979773605
383,ARE1989,23612.745196968397
384,ARE1990,27256.2909428352
385,ARE1991,26168.2666231036
386,ARE1992,25993.558007767002
387,ARE1993,25199.3495771446
388,ARE1994,25467.1922190635
389,ARE1995,26847.080053195
390,ARE1996,28615.582141012597
391,ARE1997,29199.524610859
392,ARE1998,26663.3087045186
393,ARE1999,28260.005016782798
394,ARE2000,33071.2686869422
395,ARE2001,31061.5293454235
396,ARE2002,31311.359356215202
397,ARE2003,33230.5231807291
398,ARE2004,36161.1706068291
399,ARE2005,39439.8019679284
400,ARE2006,42372.2216623658
401,ARE2007,42672.6132294857
402,ARE2008,45758.90553566269
403,ARE2009,33072.5751663719
404,ARE2010,35037.8926731322
405,ARE2011,40434.3663503001
406,ARE2012,42086.689953233
407,ARE2013,43315.1414921653
408,ARE2014,44443.0615141941
409,ARE2015,39122.049705427205
410,ARE2016,38517.8003858029
411,ARE2017,40698.8493360368
412,ARE2018,
413,ARG1960,
414,ARG1961,
415,ARG1962,1148.5799570666302
416,ARG1963,845.077184202247
417,ARG1964,1166.31739957616
418,ARG1965,1272.01049600796
419,ARG1966,1266.34498858151
420,ARG1967,1057.7556614712
421,ARG1968,1136.51783223167
422,ARG1969,1324.0829347070098
423,ARG1970,1317.4877550266901
424,ARG1971,1366.35472649443
425,ARG1972,1401.48779454318
426,ARG1973,2083.97221812887
427,ARG1974,2824.6509151884397
428,ARG1975,2011.6890403248801
429,ARG1976,1932.590782074
430,ARG1977,2112.50117336788
431,ARG1978,2129.31379311298
432,ARG1979,2501.4807528773604
433,ARG1980,2738.2847231849696
434,ARG1981,2756.39698132362
435,ARG1982,2907.75762701156
436,ARG1983,3530.1317831416795
437,ARG1984,2643.36939813156
438,ARG1985,2909.51661013406
439,ARG1986,3595.08589823166
440,ARG1987,3546.7188201556396
441,ARG1988,3969.3274116628204
442,ARG1989,2375.3391027255498
443,ARG1990,4318.77469950773
444,ARG1991,5715.50439657303
445,ARG1992,6798.026762729311
446,ARG1993,6940.350358069089
447,ARG1994,7449.4803897724205
448,ARG1995,7373.42824568235
449,ARG1996,7683.5740648377405
450,ARG1997,8172.66432306173
451,ARG1998,8248.76198864344
452,ARG1999,7736.369622540541
453,ARG2000,7669.273915540659
454,ARG2001,7170.69467365192
455,ARG2002,2579.19316821209
456,ARG2003,3330.4370058354802
457,ARG2004,4251.57434819873
458,ARG2005,5076.8838291729
459,ARG2006,5878.76102735208
