,map,res_exp2
0,ABW1988,94326.625
1,ABW1989,3974673.107543946
2,ABW1990,39038150.0
3,ABW1991,173636032.0
4,ABW1992,325867691.0
5,ABW1993,560430503.0
6,ABW1994,536106082.0
7,ABW1995,645844593.0
8,ABW1996,724393294.0
9,ABW1997,929373854.0
10,ABW1998,601950069.0
11,ABW1999,796748043.0
12,ABW2000,1001230987.0
13,ABW2001,724288842.0
14,ABW2002,485725660.0
15,ABW2003,600692792.0
16,ABW2004,1186334795.0
17,ABW2005,1837057373.0
18,ABW2006,2072122854.0
19,ABW2007,2131490992.0
20,ABW2008,2785274655.0
21,ABW2009,1048137586.0
22,ABW2010,136399144.0
23,ABW2011,2136352251.0
24,ABW2012,813855639.0
25,ABW2013,320265934.0
26,ABW2014,309022388.0
27,ABW2015,206275248.0
28,ABW2016,80549489.0
29,AFG1962,224720.0174560547
30,AFG1963,420935.7436523437
31,AFG1964,549667.1197509766
32,AFG1965,422472.61859130865
33,AFG1966,638986.0034179688
34,AFG1967,4182271.0467529297
35,AFG1968,9690333.064331055
36,AFG1969,967077.487487793
37,AFG1970,15301866.184143066
38,AFG1971,15170789.74697876
39,AFG1972,21055527.06515503
40,AFG1973,19633189.003112793
41,AFG1974,34819280.84561157
42,AFG1975,48015809.886535645
43,AFG1976,40853537.498413086
44,AFG1977,3858342.9958496094
45,AFG1978,2274591.6232910156
46,AFG1979,833257.0803833008
47,AFG1980,1807275.7874755862
48,AFG1981,1251419.8816833496
49,AFG1982,1244002.0513305664
50,AFG1983,1101830.4346313477
51,AFG1984,1248674.8307495117
52,AFG1985,2130627.5505371094
53,AFG1986,768934.5476074219
54,AFG1987,1280077.1335449219
55,AFG1988,1557639.1860351562
56,AFG1989,1537068.887512207
57,AFG1990,1554943.0
58,AFG1991,3200095.0
59,AFG1992,2253211.0
60,AFG1993,6211891.0
61,AFG1994,572708.0
62,AFG1995,4208390.0
63,AFG1996,24245131.0
64,AFG1997,8406212.0
65,AFG1998,12373117.0
66,AFG1999,1825598.0
67,AFG2000,2878449.0
68,AFG2001,5733969.0
69,AFG2002,4119618.0
70,AFG2003,53192858.0
71,AFG2004,22187558.0
72,AFG2005,27960332.0
73,AFG2006,15964928.0
74,AFG2007,26124503.0
75,AFG2008,51198287.0
76,AFG2009,115983678.0
77,AFG2010,44764038.0
78,AFG2011,109079636.0
79,AFG2012,114027125.0
80,AFG2013,115909026.0
81,AFG2014,183302562.0
82,AFG2015,108744440.0
83,AFG2016,106316242.0
84,AGO1962,14067136.093856812
85,AGO1963,18942153.00680542
86,AGO1964,47161425.68469238
87,AGO1965,40379684.75250244
88,AGO1966,53242606.84881591
89,AGO1967,54171080.05401612
90,AGO1968,90106567.45758057
91,AGO1969,136109424.28042603
92,AGO1970,231796916.41452026
93,AGO1971,251286553.69704437
94,AGO1972,294964180.74453735
95,AGO1973,355744528.47021484
96,AGO1974,756497848.62677
97,AGO1975,581575702.6539307
98,AGO1976,350614101.390503
99,AGO1977,321381930.3125
100,AGO1978,264580739.51464844
101,AGO1979,491861629.7636719
102,AGO1980,748344645.5785522
103,AGO1981,1338894829.755127
104,AGO1982,1144976157.2382812
105,AGO1983,1541050891.8701172
106,AGO1984,1802505692.9990234
107,AGO1985,2067787071.1497805
108,AGO1986,1371207123.2507324
109,AGO1987,2054147008.8564458
110,AGO1988,2518003915.656189
111,AGO1989,3040050150.663086
112,AGO1990,3901802361.0
113,AGO1991,3100737348.0
114,AGO1992,3579943799.0
115,AGO1993,3103971652.0
116,AGO1994,2988280987.0
117,AGO1995,3472842727.0
118,AGO1996,4667975404.0
119,AGO1997,4390677598.0
120,AGO1998,3569547006.0
121,AGO1999,4488644751.0
122,AGO2000,7696497899.0
123,AGO2001,6340454135.0
124,AGO2002,7435356280.0
125,AGO2003,8785972536.0
126,AGO2004,12064026815.0
127,AGO2005,20857724047.0
128,AGO2006,30295204871.0
129,AGO2007,40125693396.0
130,AGO2008,63896376073.0
131,AGO2009,38358095084.0
132,AGO2010,49659400913.0
133,AGO2011,62321243524.0
134,AGO2012,71431814220.0
135,AGO2013,67764295138.0
136,AGO2014,60639295230.0
137,AGO2015,33403231629.0
138,AGO2016,25476719288.0
139,AIA1981,0.0
140,AIA1982,0.0
141,AIA1983,0.0
142,AIA1984,0.0
143,AIA1985,0.0
144,AIA1986,1773391.334350586
145,AIA1987,2697.9990234375
146,AIA1988,17316.814697265625
147,AIA1989,1035501.095703125
148,AIA1990,96227.0
149,AIA1991,864976.0
150,AIA1992,75714.0
151,AIA1993,899961.0
152,AIA1994,36334.0
153,AIA1995,354577.0
154,AIA1996,7087.0
155,AIA1997,2090557.0
156,AIA1998,230473.0
157,AIA1999,332349.0
