,map,res_exp1
0,ABW1988,94326.625
1,ABW1989,3731782.6280517583
2,ABW1990,38994229.0
3,ABW1991,173382307.0
4,ABW1992,318490475.0
5,ABW1993,560055154.0
6,ABW1994,535675443.0
7,ABW1995,645595669.0
8,ABW1996,720848872.0
9,ABW1997,920069474.0
10,ABW1998,572014885.0
11,ABW1999,771350373.0
12,ABW2000,978411276.0
13,ABW2001,714902209.0
14,ABW2002,477044810.0
15,ABW2003,598668808.0
16,ABW2004,1184656259.0
17,ABW2005,1832766906.0
18,ABW2006,2061613428.0
19,ABW2007,2121013775.0
20,ABW2008,2772737168.0
21,ABW2009,1044006765.0
22,ABW2010,126732699.0
23,ABW2011,2124569627.0
24,ABW2012,804902731.0
25,ABW2013,309712649.0
26,ABW2014,296718936.0
27,ABW2015,198030103.0
28,ABW2016,59511558.0
29,AFG1962,1917.9996337890625
30,AFG1963,108505.7734375
31,AFG1964,13099.9931640625
32,AFG1965,4097.001953125
33,AFG1966,3317.00048828125
34,AFG1967,3796158.05078125
35,AFG1968,9033999.0
36,AFG1969,216746.296875
37,AFG1970,14904459.93737793
38,AFG1971,14540290.0
39,AFG1972,20177734.25
40,AFG1973,18536609.841064453
41,AFG1974,32217568.0
42,AFG1975,45504882.1015625
43,AFG1976,39685521.09375
44,AFG1977,8077.99951171875
45,AFG1978,0.0
46,AFG1979,0.0
47,AFG1980,0.0
48,AFG1981,0.0
49,AFG1982,0.0
50,AFG1983,0.0
51,AFG1984,0.0
52,AFG1985,0.0
53,AFG1986,0.0
54,AFG1987,1785.0
55,AFG1988,412012.859375
56,AFG1989,0.0
57,AFG1990,104489.0
58,AFG1991,14825.0
59,AFG1992,14723.0
60,AFG1993,0.0
61,AFG1994,0.0
62,AFG1995,116712.0
63,AFG1996,22288131.0
64,AFG1997,819620.0
65,AFG1998,10101833.0
66,AFG1999,243520.0
67,AFG2000,397714.0
68,AFG2001,1540473.0
69,AFG2002,71785.0
70,AFG2003,47338947.0
71,AFG2004,7540623.0
72,AFG2005,593971.0
73,AFG2006,188763.0
74,AFG2007,8398.0
75,AFG2008,6362401.0
76,AFG2009,735703.0
77,AFG2010,2292459.0
78,AFG2011,319682.0
79,AFG2012,1733659.0
80,AFG2013,563932.0
81,AFG2014,63139.0
82,AFG2015,1274582.0
83,AFG2016,130704.0
84,AGO1962,2714759.890625
85,AGO1963,8110436.651489258
86,AGO1964,6243369.746032715
87,AGO1965,2811570.136779785
88,AGO1966,1065642.0000305176
89,AGO1967,1505529.0
90,AGO1968,862896.44921875
91,AGO1969,20323534.0
92,AGO1970,64132719.37512207
93,AGO1971,89270568.43310547
94,AGO1972,141437280.01171875
95,AGO1973,176287394.36767578
96,AGO1974,458558729.0053711
97,AGO1975,465441470.9959717
98,AGO1976,330767848.58349615
99,AGO1977,301858458.3125
100,AGO1978,191039661.99902344
101,AGO1979,490121324.9472656
102,AGO1980,747607722.1015625
103,AGO1981,1334723113.96875
104,AGO1982,1144150800.0
105,AGO1983,1540350040.0
106,AGO1984,1802315134.9990234
107,AGO1985,2067731242.4998782
108,AGO1986,1370474354.0
109,AGO1987,1998874547.9414067
110,AGO1988,2335908812.0
111,AGO1989,2801724494.0
112,AGO1990,3648008741.0
113,AGO1991,3053112421.0
114,AGO1992,3405638580.0
115,AGO1993,2969083324.0
116,AGO1994,2867136684.0
117,AGO1995,3314047013.0
118,AGO1996,4425693242.0
119,AGO1997,4080614910.0
120,AGO1998,3232827538.0
121,AGO1999,3963627738.0
122,AGO2000,7090791284.0
123,AGO2001,5808689923.0
124,AGO2002,6962249618.0
125,AGO2003,8517347252.0
126,AGO2004,11915612456.0
127,AGO2005,20211246223.0
128,AGO2006,29690717199.0
129,AGO2007,39839954336.0
130,AGO2008,62992149248.0
131,AGO2009,37954615200.0
132,AGO2010,49444473849.0
133,AGO2011,61808020105.0
134,AGO2012,70598429947.0
135,AGO2013,67067822656.0
136,AGO2014,59817346825.0
137,AGO2015,32641632303.0
138,AGO2016,24600092426.0
139,AIA1981,0.0
140,AIA1982,0.0
141,AIA1983,0.0
142,AIA1984,0.0
143,AIA1985,0.0
144,AIA1986,0.0
145,AIA1987,0.0
146,AIA1988,0.0
147,AIA1989,0.0
148,AIA1990,12482.0
149,AIA1991,5880.0
150,AIA1992,61524.0
151,AIA1993,0.0
152,AIA1994,0.0
153,AIA1995,208135.0
154,AIA1996,0.0
155,AIA1997,393172.0
156,AIA1998,0.0
157,AIA1999,10114.0
158,AIA2000,10767.0
159,AIA2001,401027.0
160,AIA2002,89890.0
161,AIA2003,1375.0
162,AIA2004,0.0
163,AIA2005,0.0
164,AIA2006,0.0
165,AIA2007,29888.0
166,AIA2008,20491.0
167,AIA2009,0.0
168,AIA2010,0.0
169,AIA2011,4298371.0
170,AIA2012,1500.0
171,AIA2013,0.0
172,AIA2014,0.0
173,AIA2015,49440.0
174,AIA2016,0.0
175,ALB1962,675347.744140625
176,ALB1963,1304441.984375
177,ALB1964,2432690.8125
178,ALB1965,2004939.78125
179,ALB1966,794488.6884765625
180,ALB1967,1188104.28125
181,ALB1968,4626321.533203125
