,eci1,eci2,eci3,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,map,code,year,population,oil_prod_pc,gdp_pc
52,-0.9017695360870692,-0.8832078775335814,-0.9548116366460082,0.007460165921778655,0.025237139094976168,0.02799429841714067,0.9621511594717492,1.4524023911222277,ALB2005,ALB,2005,14.903997356439714,2.2018151253988854,8.173363528981675
53,-0.5762225542493896,-0.6162877676055875,-0.6211095842552196,0.03865936422448641,0.07769680689294803,0.08062165346113405,2.654987569512684,3.2476356297573075,ALB2010,ALB,2010,14.880415276141136,5.580810929635988,8.3788917274653
54,-0.4967948943309625,-0.4892200315102285,-0.4376994533688935,0.0250640943746615,0.055743297646645915,0.05931265496831047,1.1905240879627614,1.5205241476469131,ALB2015,ALB,2015,14.872173017271376,6.84952122655899,8.344606669222285
55,2.4372140874879618,2.202341806484554,1.8857788654908831,,,,,,AND1960,AND,1960,9.642603192469725,,
56,1.8226303439861256,2.075626891010632,1.9331640429390264,,,,,,AND1965,AND,1965,9.941765513746105,,
57,0.9940437223393792,1.1186903279775304,1.0118481352671471,0.0,0.0012454649866964745,0.002601273705115731,,0.0,AND1970,AND,1970,10.199725419570779,,8.416966659911797
58,1.2792957670217464,1.4270910348776569,1.2611499073286443,2.1302418781240387e-06,0.001971591637994259,0.002747153071515445,,0.0,AND1975,AND,1975,10.39701237682321,,9.060061565201114
59,1.3765135069117034,1.570661446707182,1.3787843689946886,0.0010482042172850446,0.004194511584730632,0.00549149626083715,,0.0,AND1980,AND,1980,10.577727105168446,,9.171838023840625
60,1.024477987333782,1.073277198758004,0.9444043797053748,0.0007450656034051429,0.003136546611217747,0.0042443833411074825,,0.0,AND1985,AND,1985,10.789129368210364,,9.396374564938297
61,0.7098170373969197,0.7195645758683441,0.7165656203229716,0.0006568292882733188,0.0017459576126049655,0.002920255006156328,,0.0,AND1990,AND,1990,10.980930680626622,,9.816949204890067
62,0.7981775948124876,0.7082903806618606,0.8464091160796539,0.0008969469231683233,0.0019003627133925933,0.0040593055422375466,,0.0,AND1995,AND,1995,11.069911126003614,,9.841479492896589
63,1.3755574599484557,1.4154618140211417,1.526679287577254,0.00032396440309583106,0.002553836843480257,0.005334711787508943,,0.0,AND2000,AND,2000,11.162533598240163,,10.241293128787584
64,1.3427154037042022,1.3893091303617782,1.425015125200675,0.0005576576447727437,0.002861958048658766,0.008981403792408143,,0.0,AND2005,AND,2005,11.316579626041397,,10.713255492220913
65,1.0578517976964268,1.0925359430889034,1.0160110361097932,0.002289745824690437,0.004349831801316961,0.008167902917463684,,0.0,AND2010,AND,2010,11.316039155234357,,10.60728238460686
66,1.3322881056855649,1.3349156660607466,1.31237490034547,0.002277248328209258,0.0036196279450965226,0.004002011757330625,,0.0,AND2015,AND,2015,11.25700042413164,,10.531354889353148
67,0.7139215622327632,0.7414234967316298,0.8415264033624916,,,,,,ANS1965,ANS,1965,,,
68,0.7807952615543332,0.8710860752403965,0.9216585716223444,,,,,,ANS1970,ANS,1970,,,
