,t_exp,map,t_exp_cons
2738,2253293902632.72,WLD1984,4903739781079.58
2739,2286698908394.74,WLD1985,5102033330393.17
2740,2551369100489.05,WLD1986,5238888921992.58
2741,3022559287656.58,WLD1987,5549313632357.5
2742,3477662486262.0,WLD1988,5985505343008.08
2743,3765573675126.86,WLD1989,6425945881987.22
2744,4303400528176.39,WLD1990,6783210370783.29
2745,4488302754907.14,WLD1991,6977726615575.35
2746,5064219641690.79,WLD1992,7174347423519.5
2747,4908385372098.67,WLD1993,7459751218202.72
2748,5426607895845.82,WLD1994,8112838726128.66
2749,6428518316252.08,WLD1995,8839011666968.39
2750,6725142365994.98,WLD1996,9401818404752.83
2751,6973247474201.8,WLD1997,10251757009637.2
2752,6885528520736.36,WLD1998,10707674959441.9
2753,7133649810081.58,WLD1999,11177309267473.6
2754,7917036602219.81,WLD2000,12515704184579.4
2755,7672861392264.82,WLD2001,12570154610861.1
2756,8055371611928.09,WLD2002,12936333464742.8
2757,9347755208342.74,WLD2003,13492701184682.1
2758,11366834731517.9,WLD2004,14884988109126.1
2759,12940504017774.6,WLD2005,15913105618568.9
2760,14866217401449.3,WLD2006,17262153470568.9
2761,17290458175586.7,WLD2007,18404994061382.7
2762,19732909104107.3,WLD2008,18923457070096.9
2763,15891224366735.6,WLD2009,16995216224932.2
2764,18926457384647.2,WLD2010,18926457384647.2
2765,22473917088784.4,WLD2011,20178930561082.7
2766,22834156548860.2,WLD2012,20766765039763.1
2767,23463839283474.6,WLD2013,21370218986590.8
2768,23868449880893.7,WLD2014,22141198519397.7
2769,21280350225365.7,WLD2015,22898306777405.7
2770,20877190438962.3,WLD2016,23521728669789.9
2771,22919322067689.6,WLD2017,24663862513803.0
2772,,WLD2018,
2773,22222233.333333302,AFG1960,
2774,24444455.555555604,AFG1961,
2775,26666680.0,AFG1962,
2776,68888922.22222221,AFG1963,
2777,71111144.4444444,AFG1964,
2778,113333340.0,AFG1965,
2779,120000000.0,AFG1966,
2780,113333340.0,AFG1967,
2781,122222228.88888898,AFG1968,
2782,142222222.222222,AFG1969,
2783,171111104.444444,AFG1970,
2784,199999988.88888898,AFG1971,
2785,235555544.444444,AFG1972,
2786,224444437.77777797,AFG1973,
2787,302222222.22222203,AFG1974,
2788,300000006.666667,AFG1975,
2789,337777777.77777797,AFG1976,
2790,344444451.111111,AFG1977,
2791,357777771.111111,AFG1978,
2792,,AFG1979,
2793,,AFG1980,
2794,,AFG1981,
2795,,AFG1982,
2796,,AFG1983,
2797,,AFG1984,
2798,,AFG1985,
2799,,AFG1986,
2800,,AFG1987,
2801,,AFG1988,
2802,,AFG1989,
2803,,AFG1990,
2804,,AFG1991,
2805,,AFG1992,
2806,,AFG1993,
2807,,AFG1994,
2808,,AFG1995,
2809,,AFG1996,
2810,,AFG1997,
2811,,AFG1998,
2812,,AFG1999,
2813,,AFG2000,
2814,,AFG2001,
2815,1329281425.1686301,AFG2002,
2816,2003505945.37477,AFG2003,
2817,1616202976.30506,AFG2004,
2818,1766397063.5051801,AFG2005,
2819,1764976731.56271,AFG2006,
2820,1863570256.68007,AFG2007,
2821,2724293965.24313,AFG2008,
2822,2823712992.37417,AFG2009,
2823,2945227257.64192,AFG2010,2945227257.64192
2824,3900021837.99266,AFG2011,
2825,3775729510.1317296,AFG2012,
2826,4028238743.23619,AFG2013,
2827,3233001877.0317802,AFG2014,
2828,2326740000.09768,AFG2015,
2829,1130089130.4347801,AFG2016,
2830,1154035780.05115,AFG2017,
2831,,AFG2018,
2832,,ALB1960,
2833,,ALB1961,
2834,,ALB1962,
2835,,ALB1963,
2836,,ALB1964,
2837,,ALB1965,
2838,,ALB1966,
2839,,ALB1967,
2840,,ALB1968,
2841,,ALB1969,
2842,,ALB1970,
2843,,ALB1971,
2844,,ALB1972,
2845,,ALB1973,
2846,,ALB1974,
2847,,ALB1975,
2848,,ALB1976,
2849,,ALB1977,
2850,,ALB1978,
2851,,ALB1979,
2852,,ALB1980,
2853,,ALB1981,
2854,,ALB1982,
2855,,ALB1983,
2856,335069933.049631,ALB1984,
2857,319090900.273501,ALB1985,
2858,327312512.5,ALB1986,
2859,333550012.5,ALB1987,
2860,348287487.5,ALB1988,
2861,418924987.5,ALB1989,
2862,312500000.0,ALB1990,
2863,82300000.0,ALB1991,
2864,81519209.67580721,ALB1992,
2865,189399541.45744,ALB1993,
2866,225407481.032684,ALB1994,
2867,302465325.386337,ALB1995,
2868,371812526.256257,ALB1996,376745565.028621
2869,230306748.46625802,ALB1997,307891129.004834
2870,291948928.287907,ALB1998,438434330.270606
2871,540977552.49819,ALB1999,740711219.244772
2872,700086106.327426,ALB2000,1006073752.7841301
2873,836718641.236252,ALB2001,1128665871.45034
2874,910731607.953517,ALB2002,1206945249.2872698
2875,1169853125.64427,ALB2003,1385873697.10405
2876,1596260273.14538,ALB2004,1623252298.46982
2877,1853023371.31259,ALB2005,1974777417.35031
2878,2242664372.48862,ALB2006,2098193733.6030602
2879,3016115601.49025,ALB2007,2541069034.39879
2880,3259292016.41107,ALB2008,2522287025.86787
2881,3040048179.5277,ALB2009,2776285329.15517
2882,3337098456.3637,ALB2010,3337098456.3637
2883,3769483126.0221,ALB2011,3587625433.34534
2884,3565036058.73664,ALB2012,3698601214.26242
2885,3694433640.23594,ALB2013,3799163016.2625203
2886,3732081775.3642397,ALB2014,3828989272.4530797
2887,3104918355.55189,ALB2015,3854073968.41049
2888,3437166961.09018,ALB2016,4222325450.07665
2889,4110304224.10804,ALB2017,4598805775.91829
2890,,ALB2018,
2891,1063398804.9422699,DZA1960,33566971799.7917
2892,1125951671.0553,DZA1961,33566971799.7917
2893,396168199.311323,DZA1962,11574818034.7592
2894,667230625.886166,DZA1963,19098448445.7023
2895,729783512.254406,DZA1964,19677190133.1858
2896,708918190.8407769,DZA1965,19677190133.1858
2897,789937412.6511519,DZA1966,21365313737.5639
2898,789937412.6511519,DZA1967,21998360619.0004
2899,891211439.91412,DZA1968,24952578042.2651
2900,1012740272.62968,DZA1969,27220992668.5992
2901,1073504628.22305,DZA1970,28276071507.6078
2902,936367707.527582,DZA1971,20943283945.8486
2903,1382755698.29163,DZA1972,29014623734.9095
2904,2222671246.7165103,DZA1973,30597239883.5791
2905,5118637700.91848,DZA1974,28750855055.1841
2906,5241302552.28642,DZA1975,28909116272.9773
2907,5860031461.64561,DZA1976,29911439246.2816
2908,6414584619.4656105,DZA1977,29753178078.2782
2909,6732393454.19703,DZA1978,31546809150.8123
2910,10354760932.188,DZA1979,33815225880.7659
2911,14540716742.671001,DZA1980,29436655692.4816
2912,15338986630.5204,DZA1981,29524965342.6095
2913,13980227233.1344,DZA1982,32536510917.1396
2914,13635984129.6358,DZA1983,34553775954.6583
2915,13805836196.1713,DZA1984,36523341369.0056
2916,13664028063.9644,DZA1985,37472947350.0013
2917,8188005040.40834,DZA1986,37360529659.6519
2918,9525773298.96907,DZA1987,39602159035.1299
2919,9163454470.14269,DZA1988,39760567120.4208
2920,10369299881.719,DZA1989,42941413347.1861
2921,14545657769.5914,DZA1990,44401421498.9644
2922,13311319293.0222,DZA1991,44001812146.6903
2923,12154240350.7968,DZA1992,45717879162.7396
2924,10880274367.1022,DZA1993,44849242599.9677
2925,9585149853.10477,DZA1994,43324367297.867004
2926,10939999981.1174,DZA1995,46053801196.522
2927,13969999892.2355,DZA1996,49507837150.7367
2928,14890000201.0155,DZA1997,52626832693.1451
2929,10880000226.4254,DZA1998,53521485291.5212
2930,13692378405.9843,DZA1999,56735490686.6006
2931,23050101993.0906,DZA2000,60366562090.5431
2932,20085455100.6929,DZA2001,58797031476.1889
2933,20152475589.2171,DZA2002,62030868207.3793
2934,25957120316.5579,DZA2003,66683183322.9328
2935,34175415031.8454,DZA2004,68817045189.2667
2936,48714923163.4239,DZA2005,72877250855.4334
2937,57121832853.8431,DZA2006,71346828587.4695
2938,63531236408.3218,DZA2007,70633360301.5948
2939,82034752098.0818,DZA2008,68938159654.356
2940,48533809676.6023,DZA2009,61975405529.2663
2941,61975405529.2663,DZA2010,61975405529.2663
2942,77581299501.3566,DZA2011,60302069579.9761
2943,77123006871.6467,DZA2012,58010590935.937004
2944,69659422181.8759,DZA2013,54703987252.5886
2945,64611501756.0407,DZA2014,54813395227.0938
2946,38460350139.138,DZA2015,55142275598.4563
2947,33403107185.3776,DZA2016,59939653575.522
2948,37932650284.3034,DZA2017,56762851936.0193
2949,,DZA2018,
2950,,ASM1960,
2951,,ASM1961,
2952,,ASM1962,
2953,,ASM1963,
2954,,ASM1964,
2955,,ASM1965,
2956,,ASM1966,
2957,,ASM1967,
2958,,ASM1968,
2959,,ASM1969,
2960,,ASM1970,
2961,,ASM1971,
2962,,ASM1972,
2963,,ASM1973,
2964,,ASM1974,
2965,,ASM1975,
2966,,ASM1976,
2967,,ASM1977,
2968,,ASM1978,
2969,,ASM1979,
2970,,ASM1980,
2971,,ASM1981,
2972,,ASM1982,
2973,,ASM1983,
2974,,ASM1984,
2975,,ASM1985,
2976,,ASM1986,
2977,,ASM1987,
2978,,ASM1988,
2979,,ASM1989,
2980,,ASM1990,
2981,,ASM1991,
2982,,ASM1992,
2983,,ASM1993,
2984,,ASM1994,
2985,,ASM1995,
2986,,ASM1996,
2987,,ASM1997,
2988,,ASM1998,
2989,,ASM1999,
2990,,ASM2000,
2991,,ASM2001,
2992,518000000.0,ASM2002,679031390.134529
2993,513000000.0,ASM2003,665156950.672646
2994,460000000.0,ASM2004,556609865.4708519
2995,498000000.0,ASM2005,585174887.8923769
2996,495000000.0,ASM2006,546000000.0
2997,505000000.0,ASM2007,553345291.479821
2998,641000000.0,ASM2008,550896860.986547
2999,530000000.0,ASM2009,432556053.811659
3000,364000000.0,ASM2010,364000000.0
3001,335000000.0,ASM2011,321560538.116592
3002,482000000.0,ASM2012,336251121.076233
3003,457000000.0,ASM2013,334618834.08071804
3004,426000000.0,ASM2014,349309417.04035896
3005,427000000.0,ASM2015,375426008.96861
3006,427000000.0,ASM2016,370529147.982063
3007,364000000.0,ASM2017,292179372.19730896
3008,,ASM2018,
3009,,AND1960,
3010,,AND1961,
3011,,AND1962,
3012,,AND1963,
3013,,AND1964,
3014,,AND1965,
3015,,AND1966,
3016,,AND1967,
3017,,AND1968,
3018,,AND1969,
3019,,AND1970,
3020,,AND1971,
3021,,AND1972,
3022,,AND1973,
3023,,AND1974,
3024,,AND1975,
3025,,AND1976,
3026,,AND1977,
3027,,AND1978,
3028,,AND1979,
3029,,AND1980,
3030,,AND1981,
3031,,AND1982,
3032,,AND1983,
3033,,AND1984,
3034,,AND1985,
3035,,AND1986,
3036,,AND1987,
3037,,AND1988,
3038,,AND1989,
3039,,AND1990,
3040,,AND1991,
3041,,AND1992,
3042,,AND1993,
3043,,AND1994,
3044,,AND1995,
3045,,AND1996,
3046,,AND1997,
3047,,AND1998,
3048,,AND1999,
3049,,AND2000,
3050,,AND2001,
3051,,AND2002,
3052,,AND2003,
3053,,AND2004,
3054,,AND2005,
3055,,AND2006,
3056,,AND2007,
3057,,AND2008,
3058,,AND2009,
3059,,AND2010,
3060,,AND2011,
3061,,AND2012,
3062,,AND2013,
3063,,AND2014,
3064,,AND2015,
3065,,AND2016,
3066,,AND2017,
3067,,AND2018,
3068,,AGO1960,
3069,,AGO1961,
3070,,AGO1962,
3071,,AGO1963,
3072,,AGO1964,
3073,,AGO1965,
3074,,AGO1966,
3075,,AGO1967,
3076,,AGO1968,
3077,,AGO1969,
3078,,AGO1970,
3079,,AGO1971,
3080,,AGO1972,
3081,,AGO1973,
3082,,AGO1974,
3083,,AGO1975,
3084,,AGO1976,
3085,,AGO1977,
3086,,AGO1978,
3087,,AGO1979,
3088,,AGO1980,
3089,,AGO1981,
3090,,AGO1982,
3091,,AGO1983,
3092,,AGO1984,
3093,,AGO1985,
3094,,AGO1986,
3095,,AGO1987,
3096,,AGO1988,
3097,,AGO1989,
3098,,AGO1990,
3099,,AGO1991,
3100,,AGO1992,
3101,,AGO1993,
3102,,AGO1994,
3103,,AGO1995,
3104,,AGO1996,
3105,,AGO1997,
3106,,AGO1998,
3107,,AGO1999,
3108,8187952996.90344,AGO2000,5939008183.31355
3109,6736804052.06298,AGO2001,10734934798.2094
3110,8725781181.80022,AGO2002,26838176774.4141
3111,9676099739.566229,AGO2003,26489280476.3467
3112,13749769575.3243,AGO2004,29956727290.7005
3113,24225663183.7639,AGO2005,36825804858.4582
3114,33245105956.2189,AGO2006,42088212372.7318
3115,44319695565.281,AGO2007,49058020341.6562
3116,64168383679.8013,AGO2008,54267982101.9401
3117,41310593206.4512,AGO2009,52829598983.8782
3118,51572818660.8665,AGO2010,51572818660.8665
3119,67822745138.1171,AGO2011,48930175168.6783
3120,71632934595.8855,AGO2012,51474477981.6027
3121,69376269461.6515,AGO2013,50870218689.9139
3122,65126113464.9162,AGO2014,51228666695.4363
3123,34572954933.3807,AGO2015,43703522518.4589
3124,28440561886.9973,AGO2016,35664030272.7501
3125,35420915616.9444,AGO2017,44417294583.8895
3126,,AGO2018,
3127,,ATG1960,
3128,,ATG1961,
3129,,ATG1962,
3130,,ATG1963,
3131,,ATG1964,
3132,,ATG1965,
3133,,ATG1966,
3134,,ATG1967,
3135,,ATG1968,
3136,,ATG1969,
3137,,ATG1970,
3138,,ATG1971,
3139,,ATG1972,
3140,,ATG1973,
3141,,ATG1974,
3142,,ATG1975,
3143,,ATG1976,
3144,31551851.8518519,ATG1977,
3145,46111111.111111104,ATG1978,
3146,75440740.7407407,ATG1979,
3147,74077777.77777779,ATG1980,
3148,91137037.037037,ATG1981,
3149,93562962.962963,ATG1982,
3150,94029629.6296296,ATG1983,
3151,129688888.88888898,ATG1984,
3152,151681481.48148102,ATG1985,
3153,205892592.59259298,ATG1986,
3154,226985185.18518502,ATG1987,
3155,265525925.92592597,ATG1988,
3156,290937037.037037,ATG1989,
3157,345300000.0,ATG1990,
3158,369862962.962963,ATG1991,
3159,407266666.666667,ATG1992,
3160,439285185.185185,ATG1993,
3161,436459259.259259,ATG1994,
3162,401607407.407407,ATG1995,
3163,402522222.22222203,ATG1996,
3164,443288888.88888896,ATG1997,
3165,465900000.0,ATG1998,
3166,472829629.62962997,ATG1999,
3167,466861925.92592597,ATG2000,
3168,445334074.07407403,ATG2001,
3169,427865296.296296,ATG2002,
3170,462637925.92592597,ATG2003,
3171,533973111.11111104,ATG2004,
3172,545269370.37037,ATG2005,
3173,548169814.814815,ATG2006,
3174,581289333.333333,ATG2007,
3175,625368666.666667,ATG2008,
3176,561623518.518518,ATG2009,
3177,523833888.88888896,ATG2010,523833888.88888896
3178,537755740.740741,ATG2011,
3179,543333333.333333,ATG2012,
3180,545555555.555555,ATG2013,
3181,590740740.740741,ATG2014,
3182,602193555.5555559,ATG2015,
3183,608888888.888889,ATG2016,
3184,,ATG2017,
3185,,ATG2018,
3186,,ARG1960,5743773673.332829
3187,,ARG1961,5132717042.192821
3188,1147183934.48134,ARG1962,7454679354.06375
3189,1441753549.5920599,ARG1963,7454679354.06375
3190,1424603255.4971,ARG1964,6843644533.91513
3191,1764705803.20912,ARG1965,7454679354.06375
3192,1904761830.17968,ARG1966,8676757095.58632
3193,1818181857.7357602,ARG1967,8676757095.58632
3194,1714285705.23432,ARG1968,8065726326.050421
3195,2000000041.3448,ARG1969,9776634032.087679
3196,1769210602.71535,ARG1970,9893963819.55855
3197,2000000003.29714,ARG1971,8911399792.97521
3198,2500000047.48951,ARG1972,9092264323.28585
3199,4000000136.32269,ARG1973,10363234673.6754
3200,4999999839.570029,ARG1974,10387664801.6236
3201,3054054017.48759,ARG1975,9422218768.12232
3202,4695000304.43367,ARG1976,12391881319.1621
3203,5459999880.60299,ARG1977,15777067196.4903
3204,4999999950.3057,ARG1978,17182373156.6199
3205,4508960596.86682,ARG1979,16632451280.302
3206,3895791554.5635204,ARG1980,15777067196.4903
3207,5445263189.7662,ARG1981,16598091023.4178
3208,7663966255.62989,ARG1982,17253143384.2704
3209,9515669466.75192,ARG1983,17698724074.2877
3210,6003000151.64854,ARG1984,17240062034.4558
3211,10376666928.8033,ARG1985,19921585394.4031
3212,9054444307.18032,ARG1986,17875570604.5354
3213,8747619117.06127,ARG1987,17253143384.2704
3214,12029545360.5898,ARG1988,20482856879.7496
3215,10007559520.4417,ARG1989,22004799453.271
3216,14643450361.4013,ARG1990,25968216627.4092
3217,14561091033.0362,ARG1991,25027090969.096
3218,15095901877.6499,ARG1992,24769388405.0964
3219,16357317317.3173,ARG1993,25756002356.8724
3220,19385100000.0,ARG1994,29695529464.3183
3221,24978532000.0,ARG1995,36385381307.3708
3222,28381400000.0,ARG1996,39167696785.6267
3223,30928400000.0,ARG1997,43937319883.7772
3224,31137200000.0,ARG1998,48604954076.4381
3225,27862300000.0,ARG1999,47992396563.0453
3226,31223690400.0,ARG2000,49289338916.5561
3227,31112418400.0,ARG2001,50640355142.009
3228,27736610298.2555,ARG2002,52206638632.5193
3229,33084505277.8061,ARG2003,55336618844.52901
3230,39266996605.7973,ARG2004,59826719523.6325
3231,46198180131.0044,ARG2005,67536487416.1127
3232,53550250227.3909,ARG2006,71292328739.2415
3233,65162321195.025,ARG2007,77112956639.8029
3234,79762958392.3012,ARG2008,77683495718.0705
3235,65133480388.4946,ARG2009,70422336693.7513
3236,80208867995.7171,ARG2010,80208867995.7171
3237,97810932629.3764,ARG2011,83536585369.3008
3238,88655850853.7721,ARG2012,80104642370.9845
3239,80690471898.442,ARG2013,77284766433.7049
3240,75818867911.0825,ARG2014,71890933183.0461
3241,63671789068.8987,ARG2015,69894253858.4586
3242,69822771313.5748,ARG2016,73593525608.3905
3243,71274718055.5556,ARG2017,73904954166.5383
3244,,ARG2018,
3245,,ARM1960,
3246,,ARM1961,
3247,,ARM1962,
3248,,ARM1963,
3249,,ARM1964,
3250,,ARM1965,
3251,,ARM1966,
3252,,ARM1967,
3253,,ARM1968,
3254,,ARM1969,
3255,,ARM1970,
3256,,ARM1971,
3257,,ARM1972,
3258,,ARM1973,
3259,,ARM1974,
3260,,ARM1975,
3261,,ARM1976,
3262,,ARM1977,
3263,,ARM1978,
3264,,ARM1979,
3265,,ARM1980,
3266,,ARM1981,
3267,,ARM1982,
3268,,ARM1983,
3269,,ARM1984,
3270,,ARM1985,
3271,,ARM1986,
3272,,ARM1987,
3273,,ARM1988,
3274,,ARM1989,
3275,789960888.429774,ARM1990,
3276,842829165.092108,ARM1991,
3277,506749951.25833,ARM1992,
3278,567247790.5099831,ARM1993,
3279,517226119.39436907,ARM1994,1235717831.13133
3280,351337813.033468,ARM1995,640401408.594615
3281,371135631.40922403,ARM1996,690724498.386873
3282,332378715.799676,ARM1997,643201844.636412
3283,359865213.08226,ARM1998,642750926.968665
3284,383089748.692254,ARM1999,728513433.159122
3285,446832959.97531104,ARM2000,865178780.428942
3286,539539869.563651,ARM2001,1101052795.31993
3287,697610534.577483,ARM2002,1480030448.09016
3288,902545052.438793,ARM2003,1932260184.5396602
3289,1063499859.40575,ARM2004,1883866208.67934
3290,1411788277.09511,ARM2005,2190703815.32683
3291,1491343148.40578,ARM2006,2029926239.08696
3292,1766287387.91701,ARM2007,1958711760.80855
3293,1754799662.97283,ARM2008,1702512547.2849
3294,1338222813.9856699,ARM2009,1524844205.4757302
3295,1928927462.2284102,ARM2010,1928927462.2284102
3296,2409446527.51175,ARM2011,2216304411.63629
3297,2927398422.95477,ARM2012,2418776615.52996
3298,3153950545.58344,ARM2013,2626791404.46553
3299,3316273473.87645,ARM2014,2794906054.3513303
3300,3137295851.61313,ARM2015,2931856451.01455
3301,3495833404.44157,ARM2016,3491841033.15832
3302,4305428819.07472,ARM2017,4127356101.1931295
3303,,ARM2018,
3304,,ABW1960,
3305,,ABW1961,
3306,,ABW1962,
3307,,ABW1963,
3308,,ABW1964,
3309,,ABW1965,
3310,,ABW1966,
3311,,ABW1967,
3312,,ABW1968,
3313,,ABW1969,
3314,,ABW1970,
3315,,ABW1971,
3316,,ABW1972,
3317,,ABW1973,
3318,,ABW1974,
3319,,ABW1975,
3320,,ABW1976,
3321,,ABW1977,
3322,,ABW1978,
3323,,ABW1979,
3324,,ABW1980,
3325,,ABW1981,
3326,,ABW1982,
3327,,ABW1983,
3328,,ABW1984,
3329,,ABW1985,
3330,,ABW1986,
3331,,ABW1987,
3332,,ABW1988,
3333,,ABW1989,
3334,,ABW1990,
3335,,ABW1991,
3336,,ABW1992,
3337,,ABW1993,
3338,,ABW1994,
3339,1121229050.27933,ABW1995,
3340,1195530726.2569802,ABW1996,
3341,1264245810.0558698,ABW1997,
3342,1326256983.2402198,ABW1998,
3343,1377094972.06704,ABW1999,
3344,1393854748.60335,ABW2000,
3345,1353631284.9162,ABW2001,
3346,1260335195.53073,ABW2002,
3347,1275418994.41341,ABW2003,
3348,1450279329.6089401,ABW2004,
3349,1597765363.12849,ABW2005,
3350,1596648044.69274,ABW2006,
3351,1730167597.7653599,ABW2007,
3352,1858659217.8770897,ABW2008,
3353,1593854748.60335,ABW2009,
3354,1459217877.09497,ABW2010,1459217877.09497
3355,1729050279.3296099,ABW2011,
3356,1653631284.9162,ABW2012,
3357,1770391061.45251,ABW2013,
3358,1850837988.82682,ABW2014,
3359,1873743016.7597802,ABW2015,
3360,1848603351.95531,ABW2016,
3361,1912290502.7933,ABW2017,
3362,,ABW2018,
3363,2413484152.7606697,AUS1960,15289011101.2512
3364,2437003023.8548603,AUS1961,16051648126.4665
3365,2772986896.62896,AUS1962,18225974964.3146
3366,2796505767.72315,AUS1963,17820316972.1787
3367,3549109642.73715,AUS1964,20759189814.0287
3368,3428155448.53847,AUS1965,20704783918.6128
3369,3525590771.64296,AUS1966,21005448077.49
3370,3915332064.06093,AUS1967,23308630983.4282
3371,4016127225.8931603,AUS1968,24428247041.7231
3372,4377869862.24661,AUS1969,26021289839.0753
3373,5354462985.77668,AUS1970,30293584363.3106
3374,5715085675.88756,AUS1971,33223866800.6212
3375,6663551401.86916,AUS1972,35712220648.852005
3376,9019859064.70211,AUS1973,36430951161.9774
3377,11680176860.7222,AUS1974,34228944131.7248
3378,13874095316.1273,AUS1975,37577292923.2836
3379,14185049792.0081,AUS1976,39046252099.5119
3380,15449644413.8564,AUS1977,41835270106.6199
3381,16123392736.296001,AUS1978,42777351137.7683
3382,19275247074.8608,AUS1979,45813581897.7308
3383,24616155988.8579,AUS1980,49050255430.2781
3384,26334610472.5415,AUS1981,46669758883.4858
3385,26231932031.3362,AUS1982,47771239643.3087
3386,24060832943.3786,AUS1983,48019406885.5565
3387,26236189096.1782,AUS1984,51684646155.6779
3388,27497123571.3738,AUS1985,59663222993.9447
3389,27321628427.5322,AUS1986,61921544898.3997
3390,29290629962.9434,AUS1987,68128589422.7746
3391,37674621653.085,AUS1988,73886069442.9236
3392,45334256168.0645,AUS1989,74652524425.712
3393,47071950750.2886,AUS1990,78138319689.9004
3394,52249430970.8814,AUS1991,86933939448.7984
3395,54226716911.482,AUS1992,95154002103.5603
3396,54747048903.8786,AUS1993,102204815251.578
3397,58015219647.1809,AUS1994,111903381976.5
3398,65793733293.7333,AUS1995,116841910097.232
3399,75814112291.3505,AUS1996,128479044779.86699
3400,83327594302.7078,AUS1997,142462314391.137
3401,78166587533.0665,AUS1998,148985294904.682
3402,71285875422.9853,AUS1999,151839218190.531
3403,80697104816.9315,AUS2000,166859063282.883
3404,84096812278.6305,AUS2001,181279489036.267
3405,81986709920.4688,AUS2002,180285865577.882
3406,89076295864.8806,AUS2003,181184040096.941
3407,105368473467.065,AUS2004,183520630131.643
3408,126651631333.634,AUS2005,189867984596.827
3409,148419436957.173,AUS2006,195509971400.392
3410,172356912930.831,AUS2007,203606904923.423
3411,212503133393.017,AUS2008,211768743725.196
3412,213439846856.133,AUS2009,216861899127.635
3413,227050118911.30103,AUS2010,227050118911.30103
3414,299391698708.469,AUS2011,229003004209.913
3415,332126211590.019,AUS2012,239543430579.691
3416,314546014158.203,AUS2013,252247684403.992
3417,308750573762.967,AUS2014,267263711538.77103
3418,269981695648.55603,AUS2015,285389465116.793
3419,232584073373.126,AUS2016,304982268892.257
3420,281496342107.248,AUS2017,321686787763.714
3421,,AUS2018,
3422,1532657935.92003,AUT1960,11388913421.4813
3423,1682092116.85016,AUT1961,12046471813.6264
3424,1816199711.6468,AUT1962,13019658059.1114
3425,1961802212.17205,AUT1963,13835030377.9265
3426,2145721110.28804,AUT1964,14729310024.4299
3427,2375619902.29057,AUT1965,15834008239.8268
3428,2581325902.37848,AUT1966,16898881150.7205
3429,2744817978.2603602,AUT1967,17882277312.4281
3430,3024212933.07725,AUT1968,19394169809.8897
3431,3646709999.69066,AUT1969,22807138360.3515
3432,4210936385.2871103,AUT1970,25307075094.8577
3433,4828105022.579579,AUT1971,26928773639.7895
3434,5940800642.895411,AUT1972,29660724227.0544
3435,7945377117.155109,AUT1973,31274481125.619
3436,10245142962.3086,AUT1974,34624297309.8533
3437,11254488267.3619,AUT1975,33793593656.5847
3438,12352078468.9729,AUT1976,37530965706.5047
3439,14409079260.6777,AUT1977,38429575515.3802
3440,18066572822.893997,AUT1978,41783926793.8377
3441,22832410396.2944,AUT1979,46515628648.9189
3442,26006990002.1272,AUT1980,48228133707.8461
3443,23441765249.6976,AUT1981,50583328051.3266
3444,22623842784.5446,AUT1982,50540373655.1486
3445,21981186839.283,AUT1983,51340907713.958
3446,22265892373.2893,AUT1984,55612622254.2645
3447,24230778531.5243,AUT1985,60592399272.9587
3448,31689309598.9184,AUT1986,58137049170.8035
3449,38996595559.4253,AUT1987,60132213029.6307
3450,44096573609.717995,AUT1988,65097292910.1335
3451,46607267810.7124,AUT1989,71961197749.6295
3452,59423125378.1919,AUT1990,78129870340.2155
3453,60116254331.1727,AUT1991,80424775955.3494
3454,64678674931.1295,AUT1992,81485888804.1785
3455,59900881225.6004,AUT1993,79552097317.7881
3456,65453950006.0234,AUT1994,84077091215.166
3457,80827705745.8714,AUT1995,90135176482.7324
3458,81256732518.8459,AUT1996,94316093117.8025
3459,78792186266.7719,AUT1997,104717102990.53099
3460,83704902178.7461,AUT1998,112938957839.888
3461,85477892606.009,AUT1999,120205399374.979
3462,85305371291.6897,AUT2000,136462669842.983
3463,88047337807.6063,AUT2001,144337936056.37802
3464,96701496329.7572,AUT2002,150524574332.271
3465,116638893905.19199,AUT2003,151324606169.327
3466,141025428358.58,AUT2004,164430938413.414
3467,153625979355.802,AUT2005,175390431590.864
3468,170827273867.771,AUT2006,188678315939.417
3469,204299603065.97302,AUT2007,202964683885.554
3470,229126805331.77103,AUT2008,207370368595.09802
3471,180907557654.904,AUT2009,177575162441.196
3472,200892688044.939,AUT2010,200892688044.939
3473,232583677064.385,AUT2011,212816401959.288
3474,220981850149.84802,AUT2012,215876047605.434
3475,229834282276.735,AUT2013,217259064599.651
3476,235966614250.844,AUT2014,223532638096.85397
3477,202701639727.853,AUT2015,231461344837.059
3478,206257438715.632,AUT2016,237726521483.20898
3479,223978845638.966,AUT2017,248800921726.48398
3480,,AUT2018,
3481,,AZE1960,
3482,,AZE1961,
3483,,AZE1962,
3484,,AZE1963,
3485,,AZE1964,
3486,,AZE1965,
3487,,AZE1966,
3488,,AZE1967,
3489,,AZE1968,
3490,,AZE1969,
3491,,AZE1970,
3492,,AZE1971,
3493,,AZE1972,
3494,,AZE1973,
3495,,AZE1974,
3496,,AZE1975,
3497,,AZE1976,
3498,,AZE1977,
3499,,AZE1978,
3500,,AZE1979,
3501,,AZE1980,
3502,,AZE1981,
3503,,AZE1982,
3504,,AZE1983,
3505,,AZE1984,
3506,,AZE1985,
3507,,AZE1986,
3508,,AZE1987,
3509,,AZE1988,
3510,,AZE1989,
3511,3885196371.82385,AZE1990,
3512,4014478401.5050397,AZE1991,
3513,4302724069.23816,AZE1992,
3514,2281805933.3109603,AZE1993,
