,t_exp,map,t_exp_cons
215,622920605642.951,EAR1998,1447226373765.84
216,673846245200.343,EAR1999,1409777870489.1
217,826929149287.398,EAR2000,1570142384176.52
218,779110190080.8441,EAR2001,1552792237287.85
219,814801162410.198,EAR2002,1570959652848.49
220,931906932213.341,EAR2003,1670510649071.42
221,1177881837335.98,EAR2004,1863430293617.06
222,1461796115970.19,EAR2005,2041493702243.66
223,1679916782695.18,EAR2006,2167120926753.02
224,1945214687059.13,EAR2007,2256548326370.27
225,2291787635580.74,EAR2008,2330240866345.07
226,1826561158432.78,EAR2009,2132902235100.79
227,2348029950073.42,EAR2010,2348029950073.42
228,2813826827333.48,EAR2011,2525576245832.39
229,2921227336054.29,EAR2012,2635436296423.52
230,2905683663831.41,EAR2013,2684784585723.35
231,2818901236433.64,EAR2014,2723002815246.34
232,2415615682839.77,EAR2015,2753216022608.25
233,2395749578021.84,EAR2016,2878895637285.13
234,2695033116506.94,EAR2017,3043757142195.03
235,,EAR2018,
236,15961200286.8576,EAS1960,
237,15577136897.9981,EAS1961,113353106331.268
238,16769431694.3672,EAS1962,122558712739.003
239,18310519762.8083,EAS1963,131000897845.748
240,21300308181.3649,EAS1964,145190455399.034
241,24082553705.6206,EAS1965,158097550931.809
242,27079197825.7119,EAS1966,173544309442.053
243,28760203696.6322,EAS1967,189624089576.73
244,33304933431.024,EAS1968,213133040932.613
245,39099924169.0743,EAS1969,240334773179.879
246,46112481517.9317,EAS1970,272504576239.60397
247,54294656250.842,EAS1971,306762132015.729
248,65806392109.8102,EAS1972,333953068651.356
249,92100484550.6694,EAS1973,365880935071.609
250,132045490188.199,EAS1974,401053704203.18396
251,135364197741.41801,EAS1975,402879680583.455
252,162274006039.331,EAS1976,467821143814.91296
253,191316853889.66898,EAS1977,522160961994.026
254,223956148296.34802,EAS1978,544415340295.053
255,267249730077.568,EAS1979,582062189838.428
256,337433866558.831,EAS1980,652222500789.9929
257,383905302007.014,EAS1981,707971206152.7579
258,373376125975.516,EAS1982,712589392325.3309
259,388498354922.68,EAS1983,757479460999.485
260,441384081124.95,EAS1984,858907411851.723
261,443997819184.079,EAS1985,889687548732.6909
262,500477841699.445,EAS1986,939246063278.0
263,599514311921.407,EAS1987,1031445125767.19
264,725655201177.7191,EAS1988,1142574748755.17
265,786433990246.852,EAS1989,1230131913593.47
266,845051851546.1641,EAS1990,1317394472781.14
267,954279445558.55,EAS1991,1449092285873.74
268,1061764375641.1,EAS1992,1578457409896.18
269,1161337064850.65,EAS1993,1687451440824.55
270,1337040701353.91,EAS1994,1855001506355.12
271,1579520882122.63,EAS1995,2054169695699.94
272,1643847020888.87,EAS1996,2193053162007.75
273,1729274969605.55,EAS1997,2411851938264.79
274,1580939967532.37,EAS1998,2431377080198.93
275,1673205564202.25,EAS1999,2528055317384.76
276,1980245460884.75,EAS2000,2908800744997.81
277,1824188790122.39,EAS2001,2826163752635.08
278,1959944324409.52,EAS2002,3028312571299.27
279,2288243266747.53,EAS2003,3317654477144.5
280,2844869764083.23,EAS2004,3814833077244.13
281,3277171896278.31,EAS2005,4148529170139.68
282,3815773451290.56,EAS2006,4560281489408.05
283,4447237269460.25,EAS2007,4952844313560.01
284,5073852806952.96,EAS2008,5142379606070.45
285,4237155528690.82,EAS2009,4597696011524.78
286,5380500195084.43,EAS2010,5380500195084.43
287,6407261638861.61,EAS2011,5700633549664.38
288,6695586810419.64,EAS2012,5851971664657.31
289,6888864884724.23,EAS2013,6093760018437.12
290,7079773467085.52,EAS2014,6370915549804.64
291,6585607145056.65,EAS2015,6486170817367.58
292,6363105902084.78,EAS2016,6640938801473.91
293,7022396633125.12,EAS2017,7059188200161.18
