,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year
394,0.6555473980555437,0.6408877200787111,0.9189718485481724,10250.561468450196,174716.2,0.8988678297606583,0.8996001426414395,0.9008389057152414,51.2272420316636,58.23642676448825,,BRN1975,BRN,1975
395,1.2837219809722338,1.452295996858504,1.8444222773844725,20675.80487401384,206105.0,0.7672331977380062,0.767800023331828,0.7682738789994299,34.025973574671816,37.42318387295846,,BRN1980,BRN,1980
396,1.7219567324504397,1.7173098636102722,1.68252424801546,12074.956067234842,237815.6,0.6446070453608658,0.6458749312157629,0.6467332797933438,23.588393961841298,28.913880507261915,,BRN1985,BRN,1985
397,1.6723848107901467,1.4938047655101834,1.2922400806312608,14293.17307108652,274059.6,0.542592068095877,0.5434967571096582,0.5436554528752957,19.5840702871085,23.366298147091403,,BRN1990,BRN,1990
398,1.7820095176450876,1.6567641175617513,1.422119147430719,15232.582345143619,311888.0,0.41237374432421614,0.41413192636768326,0.41447875114268423,14.194794734491419,18.155951120305957,,BRN1995,BRN,1995
399,-0.276523387167475,-0.3450748177883535,-0.6553952645796624,18354.954171331123,346627.4,0.5302100126146948,0.5325017444853573,0.5326408787021026,19.16182144131502,25.279219660653087,,BRN2000,BRN,2000
400,-0.3640967615605818,-0.3653642693062723,-0.6078860418700753,31134.44463582076,374659.2,0.6168912810560492,0.6217181433098673,0.6219924384285261,26.30929746501992,33.556766362147485,,BRN2005,BRN,2005
401,0.8054276355031889,1.8402154900836305,2.10225632930663,43212.867244252804,399968.6,0.5946657911754067,0.5985861428231762,0.5989087314914275,19.58135170801208,25.584117736806284,,BRN2010,BRN,2010
402,0.4296543428433792,0.3332445046800678,0.035385442862984354,28732.6312412688,423145.0,0.4045146024896148,0.4083012410838287,0.4085974300112187,7.8291809301107955,17.211173086322898,,BRN2015,BRN,2015
403,,,,,235003.0,,,,,,,BTN1960,BTN,1960
404,1.5464725165343056,1.4472254083940452,0.8665749270876747,,271123.8,,,,,,,BTN1965,BTN,1965
405,0.8224076019574029,0.883432595050534,0.5743819279768984,,318330.8,,,,,,,BTN1970,BTN,1970
406,0.4972074422604992,0.3320803695929423,0.13881256729908703,,373507.0,,,,,,,BTN1975,BTN,1975
407,0.11069781082679198,0.15176674624107533,0.7488070291948502,354.6203805576882,431233.8,1.337302731978148e-05,0.00024355574647029954,0.0033950712678402833,0.0,11.894241310299426,0.0,BTN1980,BTN,1980
408,0.7633075406920893,0.842567529969455,1.315205931745965,472.13738816955373,499619.4,0.0,0.0013707234931264732,0.0039660320277141265,0.0,6.119578889585222,0.0,BTN1985,BTN,1985
409,0.4886177042702789,0.46828117777539113,0.5279239587898849,493.83727722963675,529141.8,2.0778992031312077e-05,0.0032382518572948897,0.008144116550569406,0.0,6.454489843722735,0.0,BTN1990,BTN,1990
410,0.19877399221802897,0.13173176073314474,0.2684068835521183,667.3858303316381,532522.2,0.0011301502490741779,0.020140494266492233,0.03108070740004437,0.0,4.73829466712547,0.0,BTN1995,BTN,1995
411,0.6796455288536447,0.6684143293619556,1.0719462719519732,910.9278058519287,606626.2,9.48473462775703e-05,0.0009728790570799799,0.002273328710259224,0.0,3.44273455357527,0.0,BTN2000,BTN,2000
412,0.11592733738263465,0.15730874966367803,0.11499816046804208,1577.815330595692,686246.6,2.0844011961445952e-05,0.07057663163884155,0.0732250968868262,0.0,3.5239141972434025,0.0,BTN2005,BTN,2005
413,-0.4208365474035249,-0.4308029358765214,-0.36630385785219516,2386.5306434556323,752505.4,0.00016330136151498575,0.07842436156906804,0.0848140662878033,0.0,4.145367360004606,0.0,BTN2010,BTN,2010
