Country,Year,NY.GDP.TOTL.RT.ZS
CSS,1989,7.38949910444499
CSS,1990,8.59833928174319
CSS,1991,6.50940455856646
CSS,1992,6.32590731697404
CSS,1993,5.51739713842175
CSS,1994,5.07839003572591
CSS,1995,4.39644764979794
CSS,1996,5.11759366666562
CSS,1997,3.94405758475721
CSS,1998,2.53959046409848
CSS,1999,3.15505243188474
CSS,2000,4.65132192378906
CSS,2001,3.80391043699781
CSS,2002,3.75690685805214
CSS,2003,4.37549181320933
CSS,2004,4.98774062927639
CSS,2005,7.01183758661551
CSS,2006,8.26568532565789
CSS,2007,7.47855237515092
CSS,2008,7.92212606681668
CSS,2009,7.07976054182855
CSS,2010,8.03709346339076
CSS,2011,10.6613853611375
CSS,2012,10.6479268987919
CSS,2013,10.0481133896243
CSS,2014,8.09661535001821
CSS,2015,5.06573091895039
CSS,2016,4.63564788498173
CSS,2017,5.54484065266332
CSS,2018,
CEB,1960,
CEB,1961,
CEB,1962,
CEB,1963,
CEB,1964,
CEB,1965,
CEB,1966,
CEB,1967,
CEB,1968,
CEB,1969,
CEB,1970,
CEB,1971,
CEB,1972,
CEB,1973,
CEB,1974,
CEB,1975,
CEB,1976,
CEB,1977,
CEB,1978,
CEB,1979,
CEB,1980,1.83541596930899
CEB,1981,1.96250166352563
CEB,1982,2.03997671538971
CEB,1983,1.5027256810773
CEB,1984,1.29811826656834
CEB,1985,1.67763108108535
CEB,1986,0.82775114670818
CEB,1987,2.74016352364613
CEB,1988,3.54096650142902
CEB,1989,3.65089693535538
CEB,1990,2.79836109671088
CEB,1991,2.04317383012826
CEB,1992,1.62548508997198
CEB,1993,1.33216112610551
CEB,1994,1.05555951625436
CEB,1995,1.06922164264662
CEB,1996,0.997807844137685
CEB,1997,0.897306510559272
CEB,1998,0.528640554338966
CEB,1999,0.602293021372444
CEB,2000,0.961723889637705
CEB,2001,1.09151377669558
CEB,2002,0.783879998312619
CEB,2003,0.754332195218994
CEB,2004,1.17216043233011
CEB,2005,1.05565779385644
CEB,2006,1.30892029671724
CEB,2007,1.12231035881208
CEB,2008,1.61828351361723
CEB,2009,0.967721312389018
CEB,2010,1.25808765138288
CEB,2011,1.54599125717849
CEB,2012,1.25669969746222
CEB,2013,0.966595234583968
CEB,2014,0.830076403026578
CEB,2015,0.683724677080184
CEB,2016,0.631049797339766
CEB,2017,0.698720950823079
CEB,2018,
EAR,1960,
EAR,1961,
EAR,1962,
EAR,1963,
EAR,1964,
EAR,1965,
EAR,1966,
EAR,1967,
EAR,1968,
EAR,1969,
EAR,1970,3.3082807248922
EAR,1971,3.44799606623274
EAR,1972,4.05934297525474
EAR,1973,5.66980330018591
EAR,1974,15.0552416144105
EAR,1975,12.5273464293028
EAR,1976,13.9989915076807
EAR,1977,13.8732413322868
EAR,1978,12.2618844544714
EAR,1979,21.9562064035277
EAR,1980,20.1340352617538
EAR,1981,15.616186212891
EAR,1982,11.4087860727278
EAR,1983,11.3043645970761
EAR,1984,10.3819296871601
EAR,1985,9.25966863067045
EAR,1986,5.44324312983877
EAR,1987,7.19034890542855
EAR,1988,6.39520494016928
EAR,1989,8.70786327516932
EAR,1990,10.948774378671
EAR,1991,6.79987690795397
EAR,1992,6.41235711320414
EAR,1993,6.20476529941006
EAR,1994,5.64638958526431
EAR,1995,6.31370637395576
EAR,1996,7.243801583043
EAR,1997,6.16971137969904
EAR,1998,3.98358153827443
EAR,1999,5.07372724991922
EAR,2000,8.13930908362361
EAR,2001,6.8378696575325
EAR,2002,6.97024861503532
EAR,2003,7.86253846759598
EAR,2004,9.53263835162856
EAR,2005,11.8247017914103
