,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year,T,t
47,0.5274960935459013,0.5741721981323714,0.35868166970432336,523.4102968534207,2280424.185859727,0.010423020642953296,0.03721562800921682,0.045447113506343645,10.716882256858032,13.19858628847341,1.6517423305774833e-05,ALB1980,ALB,1980,12,5
48,0.1879025165044338,0.1575082329007853,0.11893931266509326,533.1617052181771,2450716.8541776002,0.006351487271937409,0.04128285214154816,0.05108588737570087,6.149306159634977,9.428134453488916,1.3144835408674712e-05,ALB1985,ALB,1985,12,6
49,-0.0808467635779564,-0.05299391431910674,-0.0325287720613438,320.77755206908336,2470106.1053534797,0.007489875488401271,0.029594165175495884,0.03704004360120311,2.9224748562005742,5.531236151624188,3.782607053647838e-06,ALB1990,ALB,1990,12,7
50,-0.3193733722375392,-0.40576414509833214,-0.4677661278740621,618.942714584659,2252726.6481550755,0.0014594212638998297,0.011444020448000873,0.017037182951311697,0.550101066565229,0.6962321515610925,1.8486880875616276e-06,ALB1995,ALB,1995,12,8
51,-0.6019032896707687,-0.5413906017373505,-0.6227117103218631,1046.1373138540116,1983210.94854107,0.0008464313569752629,0.005420024771755743,0.008261456361106444,0.4711288883949669,0.5353938135405119,1.3364301287013594e-06,ALB2000,ALB,2000,12,9
52,-0.49086116199991575,-0.480757474836402,-0.5197336245009814,1929.7888404487894,1616541.7355456555,0.004060799978857206,0.01373735852229699,0.015238165962043875,0.5237287546962204,0.7905877243217018,1.1985163478154284e-06,ALB2005,ALB,2005,12,10
53,-0.20372543779118837,-0.217890629818115,-0.21959539944341158,1539.4353258255564,1025503.741858042,0.013668149299747481,0.027469969515272627,0.02850405893641989,0.9386798571842048,1.1482125883122183,1.9731146264328043e-06,ALB2010,ALB,2010,12,11
54,,,,,,,,,,,,ALB2015,ALB,2015,12,12
55,2.1390002652027187,1.9328666005672606,1.6550378213003845,,13522.173885041253,,,,,,,AND1960,AND,1960,12,1
56,1.5798271336496328,1.799120536191615,1.6756359943792016,,18012.121808690103,,,,,,,AND1965,AND,1965,12,2
57,0.8487294092237982,0.9551545468586409,0.8639310834823495,3861.9437057224263,22964.036622936306,0.0,0.0010633966480670855,0.002221006425931144,,0.0,,AND1970,AND,1970,12,3
58,1.072116992005123,1.1959771829718742,1.0569098092620686,7211.173749694425,27455.940174839932,1.785254491957422e-06,0.0016522972645409578,0.0023022584483863985,,0.0,,AND1975,AND,1975,12,4
59,1.1266591724347481,1.2855668446672126,1.1285178447850615,7875.728244449112,32126.291259297075,0.0008579421052239153,0.003433155524512927,0.004494721338800613,,0.0,,AND1980,AND,1980,12,5
60,0.8129848392412667,0.8517099456323485,0.7494416203238268,9558.141135036838,38480.36339490072,0.0005912543239556962,0.002489038197033319,0.003368173207146072,,0.0,,AND1985,AND,1985,12,6
61,0.5399761153941404,0.5473913191454579,0.5451099363660749,13953.237925890611,44687.4663056076,0.0004996669689130004,0.0013281949567661192,0.0022215132507489013,,0.0,,AND1990,AND,1990,12,7
62,0.5711293952377618,0.5068113404701192,0.6056410625054772,13450.400559006115,45944.79283893312,0.0006418029735723686,0.0013597888668965723,0.0029046026028431353,,0.0,,AND1995,AND,1995,12,8
63,0.8934507785104183,0.9193694167718347,0.9916072848550725,18210.798478445668,45752.90150479529,0.00021042105225213876,0.001658765687680924,0.003464996947388277,,0.0,,AND2000,AND,2000,12,9
64,0.7308816908556484,0.7562441031947095,0.7756799849977645,24466.444121916793,44729.2068301719,0.0003035503735234358,0.0015578526409923128,0.0048888569922883734,,0.0,,AND2005,AND,2005,12,10
65,0.3740070898207617,0.3862697870241018,0.35921414669680257,14293.520672855351,29036.77428400063,0.0008095473999160961,0.0015378977818660594,0.0028877897705059793,,0.0,,AND2010,AND,2010,12,11
66,,,,,,,,,,,,AND2015,AND,2015,12,12
67,0.6188159102224624,0.6426541517466007,0.7294217667895746,,,,,,,,,ANS1965,ANS,1965,11,1
68,0.6666546814502204,0.7437463296704435,0.7869258840628902,,,,,,,,,ANS1970,ANS,1970,11,2
69,0.6039710717541629,0.768317511847494,0.7611205233033241,,,,,,,,,ANS1975,ANS,1975,11,3
70,0.9505885992480042,1.0373416063469036,0.9037132842267018,,,,,,,,,ANS1980,ANS,1980,11,4
71,0.9157304860821105,1.074698357038182,1.0034604644792608,,,,,,,,,ANS1985,ANS,1985,11,5
72,0.626929914708225,0.6844813152440159,0.6314414364658013,,,,,,,,,ANS1990,ANS,1990,11,6
73,0.8950276235411757,0.9708343100433009,0.7742172084037412,,,,,,,,,ANS1995,ANS,1995,11,7
74,0.3729987433467286,0.4739593923603559,0.39382613474363176,,,,,,,,,ANS2000,ANS,2000,11,8
75,0.4099956703616507,0.4777375542084039,0.3981209812263333,,,,,,,,,ANS2005,ANS,2005,11,9
76,0.005607643045997907,0.30617523702465044,0.1930675533866678,,,,,,,,,ANS2010,ANS,2010,11,10
77,,,,,,,,,,,,ANS2015,ANS,2015,11,11
78,0.7437765520738993,0.8489282964254204,0.9586442736955998,,,,,,,,,ANT1965,ANT,1965,10,1
79,0.8552253180065427,0.9967382331727118,0.8706232943111519,,,,,,,,,ANT1970,ANT,1970,10,2
80,0.48712335576414356,0.6652114262292548,0.6656974599167302,,,,,,,,,ANT1975,ANT,1975,10,3
81,0.5171368979186305,0.60382336209309,0.6726642209487146,,,,,,,,,ANT1980,ANT,1980,10,4
82,0.5422658492378052,0.7529362289896079,0.8063732943521057,,,,,,,,,ANT1985,ANT,1985,10,5
83,0.22306224615531048,0.27071493527487084,0.34605211202530406,,,,,,,,,ANT1990,ANT,1990,10,6
84,0.24207332783162547,0.16489786161154354,0.2440186020850719,,,,,,,,,ANT1995,ANT,1995,10,7
85,-0.09279373879171901,-0.16261177624179207,-0.07126234905626834,,,,,,,,,ANT2000,ANT,2000,10,8
86,-0.12371226831225635,-0.1594730165201509,-0.09946033991756488,,,,,,,,,ANT2005,ANT,2005,10,9
87,,,,,,,,,,,,ANT2010,ANT,2010,10,10
88,,,,,85810293.51968847,,,,,,,ARB1960,ARB,1960,12,1
89,,,,198.36043335995575,97514817.70467612,,,,,,,ARB1965,ARB,1965,12,2
90,,,,354.80187638410086,110489692.50897336,,,,19.443867929778847,19.836456412768683,,ARB1970,ARB,1970,12,3
