,res_rents,map
107,7.922126066816679,CSS2008
108,7.07976054182855,CSS2009
109,8.03709346339076,CSS2010
110,10.6613853611375,CSS2011
111,10.647926898791901,CSS2012
112,10.048113389624302,CSS2013
113,8.09661535001821,CSS2014
114,5.06573091895039,CSS2015
115,4.63564788498173,CSS2016
116,5.5448406526633205,CSS2017
117,,CSS2018
118,,CEB1960
119,,CEB1961
120,,CEB1962
121,,CEB1963
122,,CEB1964
123,,CEB1965
124,,CEB1966
125,,CEB1967
126,,CEB1968
127,,CEB1969
128,,CEB1970
129,,CEB1971
130,,CEB1972
131,,CEB1973
132,,CEB1974
133,,CEB1975
134,,CEB1976
135,,CEB1977
136,,CEB1978
137,,CEB1979
138,1.83541596930899,CEB1980
139,1.96250166352563,CEB1981
140,2.03997671538971,CEB1982
141,1.5027256810773,CEB1983
142,1.2981182665683402,CEB1984
143,1.6776310810853503,CEB1985
144,0.8277511467081801,CEB1986
145,2.74016352364613,CEB1987
146,3.54096650142902,CEB1988
147,3.65089693535538,CEB1989
148,2.79836109671088,CEB1990
149,2.04317383012826,CEB1991
150,1.62548508997198,CEB1992
151,1.33216112610551,CEB1993
152,1.0555595162543598,CEB1994
153,1.06922164264662,CEB1995
154,0.997807844137685,CEB1996
155,0.897306510559272,CEB1997
156,0.5286405543389661,CEB1998
157,0.602293021372444,CEB1999
158,0.9617238896377048,CEB2000
159,1.0915137766955798,CEB2001
160,0.783879998312619,CEB2002
161,0.754332195218994,CEB2003
162,1.17216043233011,CEB2004
163,1.05565779385644,CEB2005
164,1.30892029671724,CEB2006
165,1.12231035881208,CEB2007
166,1.61828351361723,CEB2008
167,0.967721312389018,CEB2009
168,1.2580876513828798,CEB2010
169,1.54599125717849,CEB2011
170,1.25669969746222,CEB2012
171,0.966595234583968,CEB2013
172,0.8300764030265779,CEB2014
173,0.6837246770801839,CEB2015
174,0.6310497973397661,CEB2016
175,0.6987209508230791,CEB2017
176,,CEB2018
177,,EAR1960
178,,EAR1961
179,,EAR1962
180,,EAR1963
181,,EAR1964
182,,EAR1965
183,,EAR1966
184,,EAR1967
185,,EAR1968
186,,EAR1969
187,3.3082807248922004,EAR1970
188,3.4479960662327405,EAR1971
189,4.05934297525474,EAR1972
190,5.669803300185912,EAR1973
191,15.0552416144105,EAR1974
192,12.5273464293028,EAR1975
193,13.9989915076807,EAR1976
194,13.873241332286801,EAR1977
195,12.2618844544714,EAR1978
196,21.9562064035277,EAR1979
197,20.1340352617538,EAR1980
198,15.616186212891,EAR1981
199,11.408786072727802,EAR1982
200,11.304364597076097,EAR1983
201,10.381929687160099,EAR1984
202,9.25966863067045,EAR1985
203,5.44324312983877,EAR1986
204,7.19034890542855,EAR1987
205,6.395204940169281,EAR1988
206,8.70786327516932,EAR1989
207,10.948774378671,EAR1990
208,6.799876907953969,EAR1991
209,6.41235711320414,EAR1992
210,6.20476529941006,EAR1993
211,5.64638958526431,EAR1994
212,6.31370637395576,EAR1995
213,7.243801583042999,EAR1996
214,6.16971137969904,EAR1997
215,3.98358153827443,EAR1998
216,5.073727249919219,EAR1999
217,8.13930908362361,EAR2000
218,6.8378696575325,EAR2001
219,6.97024861503532,EAR2002
220,7.86253846759598,EAR2003
221,9.532638351628561,EAR2004
222,11.8247017914103,EAR2005
223,12.5967241691064,EAR2006
224,11.7116131403755,EAR2007
225,14.11580815115,EAR2008
226,8.28183851999238,EAR2009
227,9.39472683085703,EAR2010
228,12.061881132976902,EAR2011
229,11.2439576411109,EAR2012
230,10.1764057004148,EAR2013
231,8.68259104507096,EAR2014
232,4.90655292629982,EAR2015
233,4.1902456591080295,EAR2016
234,5.0636750192688895,EAR2017
235,,EAR2018
236,,EAS1960
237,,EAS1961
238,,EAS1962
239,,EAS1963
240,,EAS1964
241,,EAS1965
242,,EAS1966
243,,EAS1967
244,,EAS1968
245,,EAS1969
246,0.881246707497649,EAS1970
247,0.889867006862468,EAS1971
248,0.987212455724516,EAS1972
249,1.5383793290932102,EAS1973
250,2.58614654508725,EAS1974
251,2.99828730696608,EAS1975
252,3.24503630624368,EAS1976
253,3.2244984474594904,EAS1977
254,2.49588587081458,EAS1978
255,4.1531824358357685,EAS1979
256,4.67996415232367,EAS1980
