,gdp,map
245,,AND1969
246,78619206.0850963,AND1970
247,89409820.3592814,AND1971
248,113408231.94408502,AND1972
249,150820102.798401,AND1973
250,186558696.279204,AND1974
251,220127246.376812,AND1975
252,227281024.620741,AND1976
253,254020153.340635,AND1977
254,308008897.569444,AND1978
255,411578334.159643,AND1979
256,446416105.825017,AND1980
257,388958731.302938,AND1981
258,375895956.383462,AND1982
259,327861832.94663596,AND1983
260,330070689.29828197,AND1984
261,346737964.774951,AND1985
262,482000594.03587997,AND1986
263,611316399.407088,AND1987
264,721425939.15155,AND1988
265,795449332.396346,AND1989
266,1029048481.88051,AND1990
267,1106928582.86629,AND1991
268,1210013651.87713,AND1992
269,1007025755.00065,AND1993
270,1017549124.33238,AND1994
271,1178738991.19295,AND1995
272,1223945356.6268198,AND1996
273,1180597272.72727,AND1997
274,1211932397.81713,AND1998
275,1239876305.13531,AND1999
276,1434429703.33518,AND2000
277,1496912751.67785,AND2001
278,1733116883.1168802,AND2002
279,2398645598.19413,AND2003
280,2935659299.72684,AND2004
281,3255789080.96008,AND2005
282,3543256805.92147,AND2006
283,4016972351.4919205,AND2007
284,4007353156.58415,AND2008
285,3660530702.97305,AND2009
286,3355695364.23841,AND2010
287,3442062830.13622,AND2011
288,3164615186.94591,AND2012
289,3281585236.3250103,AND2013
290,3350736367.25488,AND2014
291,2811489408.89431,AND2015
292,2877311946.90265,AND2016
293,3012914131.16971,AND2017
294,,AND2018
295,,ARB1960
296,,ARB1961
297,,ARB1962
298,,ARB1963
299,,ARB1964
300,,ARB1965
301,,ARB1966
302,,ARB1967
303,25602178562.5392,ARB1968
304,28132432225.1838,ARB1969
305,31705853030.0283,ARB1970
306,36733034967.561005,ARB1971
307,43792913097.7755,ARB1972
308,55448298103.8347,ARB1973
309,105341592850.765,ARB1974
310,116516174253.32,ARB1975
311,144841302607.404,ARB1976
312,167156343957.551,ARB1977
313,183563837139.04102,ARB1978
314,248595600128.175,ARB1979
315,338248771411.72,ARB1980
316,347656118407.864,ARB1981
317,326020360664.888,ARB1982
318,306261791758.792,ARB1983
319,310632323085.707,ARB1984
320,307407291560.648,ARB1985
321,293367374486.247,ARB1986
322,312752951185.987,ARB1987
323,307570926002.98,ARB1988
324,322523097140.70197,ARB1989
325,446901684405.475,ARB1990
326,440649432072.993,ARB1991
327,471671634103.682,ARB1992
328,477133962042.005,ARB1993
329,487661715245.43,ARB1994
330,523928956600.448,ARB1995
331,578398811758.025,ARB1996
332,613432360792.61,ARB1997
333,591681589857.1271,ARB1998
334,644050661585.064,ARB1999
335,735188056517.167,ARB2000
336,723449066469.795,ARB2001
337,729231446595.318,ARB2002
338,823341300650.195,ARB2003
339,964327345387.5309,ARB2004
340,1185142919458.18,ARB2005
341,1404653310998.68,ARB2006
342,1638213879955.77,ARB2007
343,2078570170452.08,ARB2008
344,1796199871252.04,ARB2009
345,2109932335481.52,ARB2010
346,2501738923095.22,ARB2011
347,2786787184920.6,ARB2012
348,2866861303189.56,ARB2013
349,2908394129857.66,ARB2014
350,2560770634365.22,ARB2015
351,2513129182099.64,ARB2016
352,2584531235434.03,ARB2017
353,,ARB2018
354,,ARE1960
355,,ARE1961
356,,ARE1962
357,,ARE1963
358,,ARE1964
359,,ARE1965
360,,ARE1966
361,,ARE1967
362,,ARE1968
363,,ARE1969
364,,ARE1970
365,,ARE1971
366,,ARE1972
367,,ARE1973
368,,ARE1974
369,14720672506.5004,ARE1975
370,19213022691.0526,ARE1976
371,24871775164.6043,ARE1977
372,23775831783.4263,ARE1978
373,31225463217.7582,ARE1979
374,43598748449.0479,ARE1980
375,49333424135.1131,ARE1981
376,46622718605.2847,ARE1982
377,42803323345.1376,ARE1983
378,41807954235.903,ARE1984
379,40603650231.5445,ARE1985
380,33943612094.7971,ARE1986
381,36384908744.2114,ARE1987
382,36275674203.2144,ARE1988
383,41464995913.9199,ARE1989
384,50701443748.2975,ARE1990
385,51552165622.4462,ARE1991
386,54239171887.769005,ARE1992
387,55625170253.337006,ARE1993
388,59305093979.842,ARE1994
389,65743666575.8649,ARE1995
390,73571233996.1863,ARE1996
391,78839008444.5655,ARE1997
392,75674336283.1858,ARE1998
393,84445473110.9598,ARE1999
394,104337372362.151,ARE2000
395,103311640571.81801,ARE2001
396,109816201497.61699,ARE2002
397,124346358066.71199,ARE2003
398,147824370319.94598,ARE2004
399,180617018379.85,ARE2005
400,222116541865.214,ARE2006
401,257916133424.09802,ARE2007
402,315474615738.598,ARE2008
403,253547358747.447,ARE2009
404,289787338325.391,ARE2010
405,350666031313.819,ARE2011
406,374590605854.323,ARE2012
407,390107556160.654,ARE2013
408,403137100068.073,ARE2014
409,358135057862.492,ARE2015
410,357045064669.84296,ARE2016
411,382575085091.899,ARE2017
412,,ARE2018
413,,ARG1960
414,,ARG1961
415,24450604877.6081,ARG1962
416,18272123664.4715,ARG1963
417,25605249381.7597,ARG1964
418,28344705966.6389,ARG1965
419,28630474727.9023,ARG1966
420,24256667553.2569,ARG1967
421,26436857247.4982,ARG1968
422,31256284543.6155,ARG1969
423,31584210365.5447,ARG1970
424,33293199095.4881,ARG1971
425,34733000536.2862,ARG1972
426,52544000116.9037,ARG1973
427,72436777342.4554,ARG1974
428,52438647921.9226,ARG1975
429,51169499890.7722,ARG1976
430,56781000100.9448,ARG1977
431,58082870156.2634,ARG1978
432,69252328953.3789,ARG1979
433,76961923741.9478,ARG1980
434,78676842366.4213,ARG1981
435,84307486836.724,ARG1982
436,103979106777.911,ARG1983
437,79092001998.032,ARG1984
438,88416668900.2596,ARG1985
439,110934442762.694,ARG1986
440,111106191358.19699,ARG1987
441,126206817196.091,ARG1988
442,76636898036.4712,ARG1989
443,141352368714.691,ARG1990
444,189719984268.485,ARG1991
445,228788617201.696,ARG1992
446,236741715015.015,ARG1993
447,257440000000.0,ARG1994
448,258031750000.0,ARG1995
449,272149750000.0,ARG1996
