,eci1,res_exp1_to_gdp,gdp_pc,population,eci1_t1,eci1_hat_t1,t,code
1206,0.295373991030442,-0.11961735219377813,26.70248936469857,4370.331719223441,0.16068530151355107,0.22342643168177612,8,ABW
1207,-0.12028904079744218,-0.27904889056614096,-539.9600992930551,4007.134127550381,0.295373991030442,0.13355218487311585,9,ABW
1208,-0.09606151471941272,0.22336711042655824,-880.1423009904782,-5233.246052977287,-0.12028904079744218,0.12150370877366945,10,ABW
1209,0.5539794025722232,0.06053078954184075,-13072.730787866254,-53165.6297392692,-0.09606151471941272,0.15868653475827926,11,ABW
1212,-0.6783674067073318,0.009349216553375663,131.9536248273067,10009315.73425296,-0.5810928898088189,-0.4707105403144745,3,AFG
1213,-0.43137159667217545,0.005826018073390437,191.10869144670662,10901814.420119382,-0.6783674067073318,-0.4823464745994411,4,AFG
1214,-0.5771448759375118,0.0,221.5538996399211,10392885.342724567,-0.43137159667217545,-0.5121215317774084,5,AFG
1218,-0.4394502990572364,0.0025859326803064665,129.2498469241113,14318513.978703694,-0.3806124787320711,-0.3868374855487951,9,AFG
1219,-0.16695644212150532,8.841131426998241e-05,184.82118346215083,14466076.987829445,-0.4394502990572364,-0.4209808066609365,10,AFG
1220,-0.3666605591865783,1.9807893527491118e-05,217.19701708057235,10868120.352493947,-0.16695644212150532,-0.4389906567251269,11,AFG
1225,-0.4210398900947143,0.1854541889477125,494.82498592110176,7851824.108441537,-0.6597616436750636,-0.5362937925638919,5,AGO
1226,-0.8404541188809207,0.19931386325928765,587.9141487035903,8902085.93637218,-0.4210398900947143,-0.5353572010658425,6,AGO
1227,-0.35183336441697777,0.3321970628704412,480.6117845247345,9880042.68922037,-0.8404541188809207,-0.5052545009457363,7,AGO
1228,-0.6229829108301521,0.40942617383409424,316.7104264070246,10803870.903339863,-0.35183336441697777,-0.5581424366528911,8,AGO
1229,-0.4286285198153201,0.3723401269207076,542.7720267011981,11440099.108762452,-0.6229829108301521,-0.4965275908188378,9,AGO
1230,-0.2759656730919243,0.32390170186973805,1608.0766574292334,11444189.719889218,-0.4286285198153201,-0.5307194202644576,10,AGO
1231,-0.25701754482119193,0.1835191976343184,1695.3141561084542,8881448.696421409,-0.2759656730919243,-0.5062114235611905,11,AGO
1242,0.5274960935459013,0.010423020642953295,523.4102968534207,2280424.1858597267,0.07020339985854951,-0.1373067361649694,5,ALB
1243,0.1879025165044338,0.00635148727193741,533.1617052181771,2450716.8541776002,0.5274960935459013,0.008624332020745015,6,ALB
1244,-0.0808467635779564,0.00748987548840127,320.77755206908336,2470106.10535348,0.1879025165044338,0.2967374965950325,7,ALB
1245,-0.3193733722375392,0.0014594212638998295,618.9427145846589,2252726.6481550755,-0.0808467635779564,0.08277960594608882,8,ALB
1246,-0.6019032896707687,0.0008464313569752629,1046.1373138540116,1983210.94854107,-0.3193733722375392,-0.08654347012854778,9,ALB
1247,-0.4908611619999158,0.0040607999788572074,1929.7888404487894,1616541.7355456557,-0.6019032896707687,-0.23682502285125603,10,ALB
1248,-0.2037254377911884,0.01366814929974748,1539.4353258255567,1025503.7418580421,-0.4908611619999158,-0.4148304660220865,11,ALB
1251,0.8487294092237982,0.0,3861.9437057224254,22964.036622936303,1.5798271336496328,1.4229675304819005,3,AND
1252,1.072116992005123,1.785254491957422e-06,7211.173749694425,27455.94017483992,0.8487294092237982,1.1361969866722514,4,AND
1253,1.1266591724347481,0.0008579421052239152,7875.728244449113,32126.291259297075,1.072116992005123,0.7612553448425071,5,AND
1254,0.8129848392412667,0.0005912543239556963,9558.141135036838,38480.36339490072,1.1266591724347481,0.8758191086925263,6,AND
1255,0.5399761153941404,0.0004996669689130004,13953.237925890613,44687.466305607595,0.8129848392412667,0.9037909296899423,7,AND
1256,0.5711293952377618,0.0006418029735723688,13450.400559006115,45944.792838933114,0.5399761153941404,0.7429238314100532,8,AND
1257,0.8934507785104183,0.00021042105225213878,18210.798478445668,45752.901504795285,0.5711293952377618,0.6029119893085411,9,AND
1258,0.7308816908556484,0.0003035503735234358,24466.4441219168,44729.20683017191,0.8934507785104183,0.6188888710614178,10,AND
1259,0.3740070898207617,0.0008095473999160961,14293.520672855351,29036.77428400063,0.7308816908556484,0.7841905873757378,11,AND
1281,0.9622993627386722,0.3243791589910911,25174.407775958,629157.1733440015,0.21547031499217284,0.5153757147519862,4,ARE
1282,0.9658212846841672,0.2847666110275096,31249.913912123946,969804.1302035523,0.9622993627386722,0.4930667795824801,5,ARE
1283,0.9050241951698575,0.21381965469878134,19216.62010763366,1243648.3205838408,0.9658212846841672,0.5389210504583454,6,ARE
1284,0.3436356923206543,0.21905624139743105,19791.75034078681,1590362.6536173546,0.9050241951698575,0.5391372915959655,7,ARE
1285,0.4112731865828103,0.16564682559426674,19975.850742418654,1938568.1846966152,0.3436356923206543,0.5354044343651636,8,ARE
1286,0.40906458107510746,0.15722086501348553,21412.80518594512,2314632.8516928186,0.4112731865828103,0.5009359565335654,9,ARE
1287,0.2168092382452243,0.15542450466728566,22134.255311562814,3312399.4730895814,0.40906458107510746,0.5050888051575178,10,ARE
1288,0.019087909362740442,0.11090153997314504,14518.11504611058,3105665.450294482,0.2168092382452243,0.5049531998332286,11,ARE
1291,-0.458064538739822,0.00019479976190963453,1535.8344089264651,21171254.012032326,-0.5496250831586366,-0.4117854191953332,3,ARG
1292,-0.5659501407333324,0.0005165790984138926,1791.349840597318,22524331.01161017,-0.458064538739822,-0.4926662440751546,4,ARG
1293,-0.6457455717975537,0.005295317750216925,2386.0451776381037,23739229.82004617,-0.5659501407333324,-0.4145059330178926,5,ARG
1294,-0.5224298924232074,0.002866162414205029,2602.240302958667,24859313.68654152,-0.6457455717975537,-0.506602067482117,6,ARG
1295,-0.19460408638545326,0.004473283204499475,4750.296809158576,25598093.67208889,-0.5224298924232074,-0.5747191342002813,7,ARG
1296,-0.2418260644498213,0.007322727896297346,5611.965094351089,25636161.304941986,-0.19460408638545326,-0.4694511727730454,8,ARG
1297,-0.17048724413033994,0.02006446312065997,3247.7476558377753,24611109.07585478,-0.2418260644498213,-0.1896039183126048,9,ARG
1298,-0.17205623223252284,0.01271523970529032,3839.0502992884967,21757608.752470776,-0.17048724413033994,-0.2299147805696861,10,ARG
1299,-0.10783251131329298,0.003327434753815586,4327.123603007969,14884523.285632767,-0.17205623223252284,-0.16901666750120353,11,ARG
1321,0.8515706861810898,0.003191847439693609,1046.2927903336715,60946.696268286476,1.443902310889421,-0.14419548320098916,4,ATG
1322,0.8185599900571531,0.005615575647555896,1894.06963620344,59147.18455577577,0.8515706861810898,0.28932719087697634,5,ATG
1323,-0.7401604091767721,0.0029847650689074482,3995.3809482898323,53981.289969383986,0.8185599900571531,0.1837431375280716,6,ATG
1324,-0.3137014239142715,0.008010710824635014,5661.794464699435,52351.169901188914,-0.7401604091767721,0.17785892848832893,7,ATG
1325,-0.8072520813184304,0.011490128688682941,6218.718742119013,55621.63639544885,-0.3137014239142715,-0.0999854595599698,8,ATG
1326,-0.5163533097281758,0.006882785241080657,6366.654855659785,55918.004585525705,-0.8072520813184304,-0.02396846777222351,9,ATG
1327,-0.4710932183687645,0.0032335276834819,7239.175434628397,49751.20513393137,-0.5163533097281758,-0.11194465673125067,10,ATG
