,gdp_cons,map
4456,1924024487378.54,FRA1991
4457,1954802553292.05,FRA1992
4458,1942826399983.33,FRA1993
4459,1988393170556.83,FRA1994
4460,2029852848973.99,FRA1995
4461,2058027288315.57,FRA1996
4462,2106130247621.88,FRA1997
4463,2181028477920.57,FRA1998
4464,2255338280604.68,FRA1999
4465,2342736298465.86,FRA2000
4466,2388523894567.11,FRA2001
4467,2415238504666.61,FRA2002
4468,2435032149085.55,FRA2003
4469,2502882471990.15,FRA2004
4470,2543121659233.15,FRA2005
4471,2603519448238.71,FRA2006
4472,2665001530699.71,FRA2007
4473,2670206139232.81,FRA2008
4474,2591666269727.4,FRA2009
4475,2642609548930.36,FRA2010
4476,2700554065723.3,FRA2011
4477,2709010438795.09,FRA2012
4478,2724623188696.84,FRA2013
4479,2750675573588.84,FRA2014
4480,2781288181538.99,FRA2015
4481,2813858461010.68,FRA2016
4482,2874670390656.72,FRA2017
4483,,FRA2018
4484,,FRO1960
4485,,FRO1961
4486,,FRO1962
4487,,FRO1963
4488,,FRO1964
4489,,FRO1965
4490,,FRO1966
4491,,FRO1967
4492,,FRO1968
4493,,FRO1969
4494,,FRO1970
4495,,FRO1971
4496,,FRO1972
4497,,FRO1973
4498,,FRO1974
4499,,FRO1975
4500,,FRO1976
4501,,FRO1977
4502,,FRO1978
4503,,FRO1979
4504,,FRO1980
4505,,FRO1981
4506,,FRO1982
4507,,FRO1983
4508,,FRO1984
4509,,FRO1985
4510,,FRO1986
4511,,FRO1987
4512,,FRO1988
4513,,FRO1989
4514,,FRO1990
4515,,FRO1991
4516,,FRO1992
4517,,FRO1993
4518,,FRO1994
4519,,FRO1995
4520,,FRO1996
4521,,FRO1997
4522,,FRO1998
4523,,FRO1999
4524,,FRO2000
4525,,FRO2001
4526,,FRO2002
4527,,FRO2003
4528,,FRO2004
4529,,FRO2005
4530,,FRO2006
4531,,FRO2007
4532,,FRO2008
4533,,FRO2009
4534,2301168186.90991,FRO2010
4535,,FRO2011
4536,,FRO2012
4537,,FRO2013
4538,,FRO2014
4539,,FRO2015
4540,,FRO2016
4541,,FRO2017
4542,,FRO2018
4543,,FSM1960
4544,,FSM1961
4545,,FSM1962
4546,,FSM1963
4547,,FSM1964
4548,,FSM1965
4549,,FSM1966
4550,,FSM1967
4551,,FSM1968
4552,,FSM1969
4553,,FSM1970
4554,,FSM1971
4555,,FSM1972
4556,,FSM1973
4557,,FSM1974
4558,,FSM1975
4559,,FSM1976
4560,,FSM1977
4561,,FSM1978
4562,,FSM1979
4563,,FSM1980
4564,,FSM1981
4565,,FSM1982
4566,,FSM1983
4567,,FSM1984
4568,,FSM1985
4569,204090615.61081102,FSM1986
4570,206539213.278607,FSM1987
4571,211803698.26436898,FSM1988
4572,219271921.151147,FSM1989
4573,227474723.338265,FSM1990
4574,244370047.24605802,FSM1991
4575,254164437.917243,FSM1992
4576,274855088.21012,FSM1993
4577,273385929.609443,FSM1994
4578,292752623.14334303,FSM1995
4579,283643472.529491,FSM1996
4580,266438401.016721,FSM1997
4581,274313580.835887,FSM1998
4582,278109396.94050497,FSM1999
4583,290800111.363042,FSM2000
4584,295880951.523719,FSM2001
4585,297655939.97310495,FSM2002
4586,303450791.21371096,FSM2003
4587,293950477.122429,FSM2004
4588,299996309.623985,FSM2005
4589,299604166.707487,FSM2006
4590,293724716.417458,FSM2007
4591,287210712.04182005,FSM2008
4592,290591735.701513,FSM2009
4593,296525300.0,FSM2010
4594,306450200.926878,FSM2011
4595,300353437.593833,FSM2012
4596,288764224.83215296,FSM2013
4597,282538297.972131,FSM2014
4598,296471675.711075,FSM2015
4599,298546977.441053,FSM2016
4600,308100480.719167,FSM2017
4601,,FSM2018
4602,2185116065.6013103,GAB1960
4603,2507788728.45896,GAB1961
4604,2694599217.24474,GAB1962
4605,2858765930.71952,GAB1963
4606,2988967099.55027,GAB1964
4607,3238047760.73506,GAB1965
4608,3384019101.66093,GAB1966
4609,3523276660.31173,GAB1967
4610,3611668656.19117,GAB1968
4611,3903596598.83735,GAB1969
4612,4242403104.80399,GAB1970
4613,4677619823.51501,GAB1971
4614,5207920211.5722,GAB1972
4615,5738213230.02661,GAB1973
4616,8004066949.73228,GAB1974
4617,9540056594.859379,GAB1975
4618,12938733999.2861,GAB1976
4619,11310770691.4855,GAB1977
4620,8590620139.78418,GAB1978
4621,8631374495.28825,GAB1979
4622,8851728061.99458,GAB1980
4623,9302752753.63112,GAB1981
4624,9014598089.529991,GAB1982
4625,9520158446.65818,GAB1983
4626,10235017844.0222,GAB1984
4627,9996240063.52899,GAB1985
4628,9915910504.90297,GAB1986
4629,8215724303.740841,GAB1987
4630,9271063112.44527,GAB1988
4631,10063304194.7561,GAB1989
4632,10585814826.4062,GAB1990
4633,11232873126.3755,GAB1991
4634,10885760985.9173,GAB1992
4635,11315373531.2553,GAB1993
4636,11735485609.8244,GAB1994
4637,12319190798.347,GAB1995
4638,12765767503.6889,GAB1996
4639,13498314143.8215,GAB1997
4640,13967763046.8196,GAB1998
4641,12720075459.928001,GAB1999
4642,12480560713.2671,GAB2000
4643,12747049816.8665,GAB2001
4644,12715305434.8118,GAB2002
4645,13001060309.9028,GAB2003
4646,13090708218.7965,GAB2004
4647,13441042188.4756,GAB2005
4648,13063808807.6346,GAB2006
4649,13848696552.9606,GAB2007
4650,13390522031.7449,GAB2008
4651,13407974049.0581,GAB2009
4652,14358584300.3006,GAB2010
4653,15376859682.3653,GAB2011
4654,16184310411.783,GAB2012
4655,17096894961.6772,GAB2013
4656,17834619899.8015,GAB2014
4657,18526406863.2095,GAB2015
4658,18913875956.0273,GAB2016
4659,19007559999.2149,GAB2017
4660,,GAB2018
4661,724558361061.08,GBR1960
4662,743205377406.731,GBR1961
4663,753075094121.114,GBR1962
4664,782868561011.1809,GBR1963
4665,822311690317.643,GBR1964
4666,845245772817.2759,GBR1965
4667,862567488917.333,GBR1966
4668,882501122554.945,GBR1967
4669,917666480088.841,GBR1968
4670,936501085850.922,GBR1969
4671,998275380745.9691,GBR1970
4672,1033058969027.07,GBR1971
4673,1077500607187.06,GBR1972
4674,1147632113254.69,GBR1973
4675,1119361227100.0,GBR1974
4676,1102805184368.56,GBR1975
4677,1134897466890.37,GBR1976
4678,1162624076095.54,GBR1977
4679,1211475789174.6,GBR1978
4680,1256802593253.32,GBR1979
4681,1231317545386.53,GBR1980
4682,1221824211054.78,GBR1981
4683,1246389717523.84,GBR1982
4684,1299011263983.31,GBR1983
4685,1328579820723.07,GBR1984
4686,1384318068316.22,GBR1985
4687,1427568026603.7,GBR1986
4688,1503322771924.82,GBR1987
4689,1589728156125.7,GBR1988
4690,1630574702266.82,GBR1989
4691,1642507256284.46,GBR1990
4692,1624660704506.76,GBR1991
4693,1630736553074.82,GBR1992
4694,1671944040741.03,GBR1993
4695,1736816113510.38,GBR1994
4696,1779710859442.01,GBR1995
4697,1824891568314.44,GBR1996
4698,1898585223136.99,GBR1997
4699,1958159190329.39,GBR1998
4700,2021147778546.34,GBR1999
4701,2095205239633.13,GBR2000
4702,2148509996709.61,GBR2001
4703,2201317743023.61,GBR2002
4704,2274531574900.44,GBR2003
4705,2328311858122.98,GBR2004
4706,2400398463976.6,GBR2005
4707,2459352241877.18,GBR2006
4708,2517311998561.84,GBR2007
4709,2505416684453.29,GBR2008
4710,2400495860780.8,GBR2009
4711,2452899665124.47,GBR2010
4712,2493244223366.51,GBR2011
4713,2529322974272.55,GBR2012
4714,2581081905285.73,GBR2013
4715,2657160857646.89,GBR2014
4716,2719580793136.38,GBR2015
4717,2768240513221.77,GBR2016
4718,2818703538384.81,GBR2017
4719,,GBR2018
4720,,GEO1960
4721,,GEO1961
4722,,GEO1962
4723,,GEO1963
4724,,GEO1964
4725,6982078742.16024,GEO1965
4726,7508222452.84828,GEO1966
4727,7977486321.877521,GEO1967
4728,8332989822.11305,GEO1968
4729,8731152552.3905,GEO1969
4730,9783441207.62341,GEO1970
4731,10025183790.6845,GEO1971
4732,10309585603.7875,GEO1972
4733,10977931454.8839,GEO1973
4734,11944899867.7953,GEO1974
4735,12826546393.2429,GEO1975
4736,13608653298.6089,GEO1976
4737,14547180899.5721,GEO1977
4738,15627909544.1821,GEO1978
4739,16779740561.4006,GEO1979
4740,17547626169.6737,GEO1980
4741,18471933981.5912,GEO1981
4742,18841656859.5869,GEO1982
4743,19652203617.2347,GEO1983
4744,20718713569.5606,GEO1984
4745,21742561001.5596,GEO1985
4746,19965046653.5716,GEO1986
4747,20221007106.3454,GEO1987
4748,21344396900.3301,GEO1988
4749,19808624449.9271,GEO1989
4750,16879280318.5773,GEO1990
4751,13317752075.9392,GEO1991
4752,7338081406.043991,GEO1992
4753,5188023446.17918,GEO1993
4754,4648469356.54675,GEO1994
4755,4769329337.72273,GEO1995
4756,5303494351.86879,GEO1996
4757,5861371078.80256,GEO1997
4758,6043360990.14515,GEO1998
4759,6216760515.82601,GEO1999
4760,6331045822.16669,GEO2000
4761,6635281198.84576,GEO2001
4762,6998485748.13617,GEO2002
4763,7772385448.94367,GEO2003
4764,8222871318.73602,GEO2004
4765,9011304085.19026,GEO2005
4766,9860235676.2568,GEO2006
4767,11100533051.2511,GEO2007
4768,11368955405.9406,GEO2008
4769,10953977075.560999,GEO2009
4770,11638536861.8315,GEO2010
4771,12479016506.432,GEO2011
4772,13271494211.6786,GEO2012
4773,13721005571.9437,GEO2013
4774,14355373148.1697,GEO2014
4775,14768853661.9001,GEO2015
4776,15189614370.6718,GEO2016
4777,15923763449.3535,GEO2017
4778,,GEO2018
4779,7006722487.75181,GHA1960
4780,7247030227.98403,GHA1961
4781,7544822194.289829,GHA1962
4782,7877245113.64433,GHA1963
4783,8051279256.567909,GHA1964
4784,8161501178.57403,GHA1965
4785,7813960759.638471,GHA1966
4786,8054268499.87069,GHA1967
4787,8083977501.149179,GHA1968
4788,8569515333.8899,GHA1969
4789,9402769808.20738,GHA1970
4790,9893229993.22429,GHA1971
4791,9647120523.03573,GHA1972
4792,9925399836.8859,GHA1973
4793,10605539531.3192,GHA1974
4794,9287098201.02141,GHA1975
4795,8959246657.18272,GHA1976
4796,9162989534.3808,GHA1977
4797,9939638626.296871,GHA1978
4798,9689662537.655409,GHA1979
4799,9735368282.69309,GHA1980
4800,9394331814.23873,GHA1981
4801,8743901121.08394,GHA1982
4802,8344852426.14239,GHA1983
4803,9066479335.88602,GHA1984
4804,9528109763.80254,GHA1985
4805,10023491500.0837,GHA1986
4806,10504107781.5602,GHA1987
4807,11095296694.7992,GHA1988
4808,11659589360.4173,GHA1989
4809,12047715856.1569,GHA1990
4810,12684055279.6118,GHA1991
4811,13176122962.2219,GHA1992
4812,13815165000.1835,GHA1993
4813,14271065388.7182,GHA1994
4814,14857951398.9653,GHA1995
4815,15541782824.2302,GHA1996
4816,16193971605.2352,GHA1997
4817,16955151553.2998,GHA1998
4818,17701177689.239,GHA1999
4819,18356121284.0331,GHA2000
4820,19090366135.3945,GHA2001
4821,19949432554.0813,GHA2002
4822,20986803043.6895,GHA2003
4823,22162064012.0001,GHA2004
4824,23469626664.7482,GHA2005
4825,24971662216.256,GHA2006
4826,26057135212.3246,GHA2007
4827,28441310733.8456,GHA2008
4828,29819146303.3442,GHA2009
4829,32174772955.9748,GHA2010
4830,36694403096.1881,GHA2011
4831,40104336702.7707,GHA2012
4832,43036976358.6719,GHA2013
4833,44283946425.9222,GHA2014
4834,45248542333.6554,GHA2015
4835,46808618404.8994,GHA2016
4836,50620453224.9334,GHA2017
4837,,GHA2018
4838,,GIB1960
4839,,GIB1961
4840,,GIB1962
4841,,GIB1963
4842,,GIB1964
4843,,GIB1965
4844,,GIB1966
4845,,GIB1967
4846,,GIB1968
4847,,GIB1969
4848,,GIB1970
4849,,GIB1971
4850,,GIB1972
4851,,GIB1973
4852,,GIB1974
4853,,GIB1975
4854,,GIB1976
4855,,GIB1977
4856,,GIB1978
4857,,GIB1979
4858,,GIB1980
4859,,GIB1981
4860,,GIB1982
4861,,GIB1983
4862,,GIB1984
4863,,GIB1985
4864,,GIB1986
4865,,GIB1987
4866,,GIB1988
4867,,GIB1989
4868,,GIB1990
4869,,GIB1991
4870,,GIB1992
4871,,GIB1993
4872,,GIB1994
4873,,GIB1995
4874,,GIB1996
4875,,GIB1997
4876,,GIB1998
4877,,GIB1999
4878,,GIB2000
4879,,GIB2001
4880,,GIB2002
4881,,GIB2003
4882,,GIB2004
4883,,GIB2005
4884,,GIB2006
4885,,GIB2007
4886,,GIB2008
4887,,GIB2009
4888,,GIB2010
4889,,GIB2011
4890,,GIB2012
4891,,GIB2013
4892,,GIB2014
4893,,GIB2015
4894,,GIB2016
4895,,GIB2017
4896,,GIB2018
4897,,GIN1960
4898,,GIN1961
4899,,GIN1962
4900,,GIN1963
4901,,GIN1964
4902,,GIN1965
4903,,GIN1966
4904,,GIN1967
4905,,GIN1968
4906,,GIN1969
4907,,GIN1970
4908,,GIN1971
4909,,GIN1972
4910,,GIN1973
4911,,GIN1974
4912,,GIN1975
4913,,GIN1976
4914,,GIN1977
4915,,GIN1978
4916,,GIN1979
4917,,GIN1980
4918,,GIN1981
4919,,GIN1982
4920,,GIN1983
4921,,GIN1984
4922,,GIN1985
4923,2888535573.11336,GIN1986
4924,2983855480.55592,GIN1987
4925,3172080566.3432,GIN1988
4926,3299074050.92385,GIN1989
4927,3441728083.1774397,GIN1990
4928,3531674996.6600103,GIN1991
4929,3647194224.6262703,GIN1992
4930,3831163973.0453897,GIN1993
4931,3983264979.6867704,GIN1994
4932,4166800812.72132,GIN1995
4933,4352705759.62121,GIN1996
4934,4578245711.8153105,GIN1997
4935,4745082536.3325,GIN1998
4936,4925965274.05965,GIN1999
4937,5049265168.10567,GIN2000
4938,5233984782.18311,GIN2001
4939,5504299655.68013,GIN2002
4940,5573026410.53525,GIN2003
4941,5703441766.404921,GIN2004
4942,5874389461.53479,GIN2005
4943,5943715507.54435,GIN2006
4944,6349521163.813721,GIN2007
4945,6612176481.91928,GIN2008
4946,6538276245.61414,GIN2009
4947,6853467936.39129,GIN2010
4948,7238091703.717959,GIN2011
4949,7666363200.87543,GIN2012
4950,7968018035.40333,GIN2013
4951,8263428448.58193,GIN2014
4952,8578674103.06299,GIN2015
4953,9475497771.5086,GIN2016
4954,10480310146.3464,GIN2017
4955,,GIN2018
4956,,GMB1960
4957,,GMB1961
4958,,GMB1962
4959,,GMB1963
4960,,GMB1964
4961,,GMB1965
4962,172396307.275892,GMB1966
4963,172396307.275892,GMB1967
4964,188905224.98734298,GMB1968
4965,193506054.96713102,GMB1969
4966,205414120.70043302,GMB1970
4967,205278799.97177902,GMB1971
4968,205774968.644054,GMB1972
4969,224809830.76020402,GMB1973
4970,238025936.74163198,GMB1974
4971,267525512.413651,GMB1975
4972,287191916.7268,GMB1976
4973,297070101.135536,GMB1977
4974,315834374.590451,GMB1978
4975,311639515.595968,GMB1979
4976,331179561.313451,GMB1980
4977,342180995.323498,GMB1981
4978,339564738.840344,GMB1982
4979,376520342.791879,GMB1983
4980,389831305.713507,GMB1984
4981,386664843.779806,GMB1985
4982,402483576.058824,GMB1986
4983,412361861.66003,GMB1987
4984,430822588.506628,GMB1988
4985,456222690.08507,GMB1989
4986,472459105.277726,GMB1990
4987,487138595.145714,GMB1991
4988,503597492.979933,GMB1992
4989,518766358.425775,GMB1993
4990,519567054.83334804,GMB1994
4991,524148847.43000495,GMB1995
4992,535803536.02109003,GMB1996
4993,562057904.420086,GMB1997
4994,581729922.715412,GMB1998
4995,618960633.7918941,GMB1999
4996,653003469.7283679,GMB2000
4997,690877672.512499,GMB2001
4998,668424146.033001,GMB2002
4999,714344883.547766,GMB2003
5000,764706197.369318,GMB2004
5001,757505143.313153,GMB2005
5002,766020256.369495,GMB2006
5003,793834647.462634,GMB2007
5004,839358222.136542,GMB2008
5005,893494274.6203439,GMB2009
5006,951806368.6991289,GMB2010
5007,910925126.116185,GMB2011
5008,961934758.086175,GMB2012
5009,1008001063.16696,GMB2013
5010,998523478.7369119,GMB2014
5011,1057119309.3346599,GMB2015
5012,1061406947.7831801,GMB2016
5013,1109783032.00636,GMB2017
5014,,GMB2018
5015,,GNB1960
5016,,GNB1961
5017,,GNB1962
5018,,GNB1963
5019,,GNB1964
5020,,GNB1965
5021,,GNB1966
5022,,GNB1967
5023,,GNB1968
5024,,GNB1969
5025,347018853.99961203,GNB1970
5026,333447059.545825,GNB1971
5027,354703845.74558103,GNB1972
5028,358640678.155719,GNB1973
5029,374991971.170753,GNB1974
5030,404412282.461226,GNB1975
5031,424404222.892706,GNB1976
5032,393974143.15114,GNB1977
5033,445687360.089592,GNB1978
5034,454575009.455355,GNB1979
5035,382058242.397534,GNB1980
5036,451468781.14458096,GNB1981
5037,470430840.76561296,GNB1982
5038,454444248.64063,GNB1983
5039,495840588.59833497,GNB1984
5040,516499751.502647,GNB1985
5041,512399530.48607403,GNB1986
5042,527259116.9083269,GNB1987
5043,551513036.224687,GNB1988
5044,585155331.552818,GNB1989
5045,620849806.6979691,GNB1990
5046,652513146.981025,GNB1991
5047,659690791.409824,GNB1992
5048,673544298.027336,GNB1993
5049,695097715.701948,GNB1994
5050,725682015.2486731,GNB1995
5051,809861128.99053,GNB1996
5052,862502102.3749139,GNB1997
5053,620139186.442281,GNB1998
5054,626498945.784591,GNB1999
5055,660498964.42588,GNB2000
5056,674956671.269269,GNB2001
5057,668307149.840494,GNB2002
5058,672106543.994864,GNB2003
5059,690666107.478887,GNB2004
5060,720130606.909959,GNB2005
5061,736761000.674145,GNB2006
5062,760801183.943933,GNB2007
5063,785173961.9435201,GNB2008
5064,811626276.096028,GNB2009
5065,849050127.504407,GNB2010
5066,917693960.144275,GNB2011
5067,901976771.588471,GNB2012
5068,931344271.765525,GNB2013
5069,940327653.0674881,GNB2014
5070,998008131.225057,GNB2015
5071,1060511440.7331699,GNB2016
5072,1123284986.0476198,GNB2017
5073,,GNB2018
5074,,GNQ1960
5075,,GNQ1961
5076,,GNQ1962
5077,,GNQ1963
5078,,GNQ1964
5079,,GNQ1965
5080,,GNQ1966
5081,,GNQ1967
5082,,GNQ1968
5083,,GNQ1969
5084,,GNQ1970
5085,,GNQ1971
5086,,GNQ1972
5087,,GNQ1973
5088,,GNQ1974
5089,,GNQ1975
5090,,GNQ1976
5091,,GNQ1977
5092,,GNQ1978
5093,,GNQ1979
5094,164823625.34528702,GNQ1980
5095,174332993.380166,GNQ1981
5096,178171240.962056,GNQ1982
5097,187087619.73134,GNQ1983
5098,188979789.625448,GNQ1984
5099,213367969.501364,GNQ1985
5100,208395308.724523,GNQ1986
5101,217641261.24778798,GNQ1987
5102,223420207.34976402,GNQ1988
5103,220673975.135883,GNQ1989
5104,216793281.866299,GNQ1990
5105,214577136.655075,GNQ1991
5106,289132649.495085,GNQ1992
5107,321033270.674926,GNQ1993
5108,374545778.598325,GNQ1994
5109,440039841.242576,GNQ1995
5110,733018355.315771,GNQ1996
5111,1832347705.69357,GNQ1997
5112,2267978887.20713,GNQ1998
5113,2850033339.01954,GNQ1999
5114,3369132140.08877,GNQ2000
5115,5504483893.3827,GNQ2001
5116,6575812458.0859995,GNQ2002
5117,7493483546.94777,GNQ2003
5118,10340911891.9249,GNQ2004
5119,12072880264.5669,GNQ2005
5120,13003085741.6938,GNQ2006
5121,14990232117.7878,GNQ2007
5122,17658359891.78,GNQ2008
5123,17895574579.7547,GNQ2009
5124,16298542027.9965,GNQ2010
5125,17361846462.6899,GNQ2011
5126,18805114508.9646,GNQ2012
5127,18027861797.9562,GNQ2013
5128,18102689377.1354,GNQ2014
5129,16453526925.8321,GNQ2015
5130,15049397649.8622,GNQ2016
5131,14309494798.3601,GNQ2017
5132,,GNQ2018
5133,56488152206.7234,GRC1960
5134,62786319861.6199,GRC1961
5135,63749159946.9305,GRC1962
5136,70210810027.4557,GRC1963
5137,76009057613.0146,GRC1964
5138,83148330609.7444,GRC1965
5139,88219419688.5285,GRC1966
5140,93055111746.9691,GRC1967
5141,99256406058.3417,GRC1968
5142,109082522436.44,GRC1969
5143,117755967331.06401,GRC1970
5144,126989421156.06801,GRC1971
5145,139891738262.25598,GRC1972
5146,151212307425.025,GRC1973
5147,141476895274.227,GRC1974
5148,150484458575.03,GRC1975
5149,160795500162.00198,GRC1976
5150,165524498469.44,GRC1977
5151,177519832755.341,GRC1978
5152,183346176059.017,GRC1979
5153,184587669956.207,GRC1980
5154,181719692103.63898,GRC1981
5155,179661448556.809,GRC1982
5156,177723579962.172,GRC1983
5157,181296855424.633,GRC1984
5158,185846602550.214,GRC1985
5159,186808656263.818,GRC1986
5160,182588903662.85898,GRC1987
5161,190418063349.87,GRC1988
5162,197653949750.543,GRC1989
5163,197653949750.543,GRC1990
5164,203781222157.05,GRC1991
5165,205207690736.387,GRC1992
5166,201924367679.307,GRC1993
5167,205962855046.137,GRC1994
5168,210287497825.875,GRC1995
5169,216306196961.633,GRC1996
5170,226005797602.23,GRC1997
5171,234808508199.108,GRC1998
5172,242023226588.58102,GRC1999
5173,251509982285.871,GRC2000
5174,261901399087.37802,GRC2001
5175,272175455326.75302,GRC2002
5176,287946747179.79803,GRC2003
5177,302519710645.089,GRC2004
5178,304332233457.662,GRC2005
5179,321534411242.933,GRC2006
5180,332060633925.509,GRC2007
5181,330947657806.954,GRC2008
5182,316714480468.73303,GRC2009
5183,299361576558.217,GRC2010
5184,272022398082.022,GRC2011
5185,252163419407.33,GRC2012
5186,243989731226.599,GRC2013
5187,245794711441.89398,GRC2014
5188,244718538827.457,GRC2015
5189,244251243206.09,GRC2016
5190,247927466976.192,GRC2017
5191,,GRC2018
5192,,GRD1960
5193,,GRD1961
5194,,GRD1962
5195,,GRD1963
5196,,GRD1964
5197,,GRD1965
5198,,GRD1966
5199,,GRD1967
5200,,GRD1968
5201,,GRD1969
5202,,GRD1970
5203,,GRD1971
5204,,GRD1972
5205,,GRD1973
5206,,GRD1974
5207,,GRD1975
5208,,GRD1976
5209,265671122.377339,GRD1977
5210,279861685.357341,GRD1978
5211,295539770.739905,GRD1979
5212,293959271.188744,GRD1980
5213,298469157.578767,GRD1981
5214,310778806.574048,GRD1982
5215,322068079.421398,GRD1983
5216,333560966.88564503,GRD1984
5217,353506939.261937,GRD1985
5218,378939196.41616803,GRD1986
5219,413412905.765728,GRD1987
5220,425678005.547573,GRD1988
5221,441716406.815312,GRD1989
5222,459440771.92993,GRD1990
5223,465806534.30244803,GRD1991
5224,461841827.778543,GRD1992
5225,452795198.09442097,GRD1993
5226,460463538.53955305,GRD1994
5227,470268995.16571504,GRD1995
5228,491140636.96790195,GRD1996
5229,515773769.13944006,GRD1997
5230,576395254.526778,GRD1998
5231,616157088.234607,GRD1999
5232,646274551.793201,GRD2000
5233,633194600.876292,GRD2001
5234,654959547.879999,GRD2002
5235,716944745.47362,GRD2003
5236,712302884.452897,GRD2004
5237,806847301.238685,GRD2005
5238,774632469.576978,GRD2006
5239,822066708.874271,GRD2007
5240,829856141.34603,GRD2008
5241,774975419.935199,GRD2009
5242,771013259.259259,GRD2010
5243,776911332.0028089,GRD2011
5244,767936889.427134,GRD2012
5245,785994301.613538,GRD2013
5246,843718324.581439,GRD2014
5247,898080308.938223,GRD2015
5248,931629123.8719039,GRD2016
5249,978762255.0541551,GRD2017
5250,,GRD2018
5251,,GRL1960
5252,,GRL1961
5253,,GRL1962
5254,,GRL1963
5255,,GRL1964
5256,,GRL1965
5257,,GRL1966
5258,,GRL1967
5259,,GRL1968
5260,,GRL1969
5261,726460342.6361481,GRL1970
5262,821342248.105121,GRL1971
5263,872078805.651749,GRL1972
5264,931432567.574174,GRL1973
5265,984582475.6672051,GRL1974
5266,990945242.8432051,GRL1975
5267,1049997736.05855,GRL1976
5268,1142631846.77565,GRL1977
5269,1211380773.6871,GRL1978
5270,1270261116.79366,GRL1979
5271,1380469050.91134,GRL1980
5272,1389653029.37658,GRL1981
5273,1328235078.62707,GRL1982
5274,1374155043.15382,GRL1983
5275,1302979095.73067,GRL1984
5276,1350621066.7489,GRL1985
5277,1446479002.9269,GRL1986
5278,1526264934.67375,GRL1987
5279,1611790880.03658,GRL1988
5280,1719128819.37969,GRL1989
5281,1517654950.35005,GRL1990
5282,1515932949.2718801,GRL1991
5283,1438443004.21401,GRL1992
5284,1366119059.04945,GRL1993
5285,1447053004.0362,GRL1994
5286,1501008943.65321,GRL1995
5287,1523968937.25218,GRL1996
5288,1546354919.00926,GRL1997
5289,1666320851.33621,GRL1998
5290,1689280827.1545699,GRL1999
5291,1809246741.7008898,GRL2000
5292,1832206717.51925,GRL2001
5293,1814412741.5942101,GRL2002
5294,1894827616.8631399,GRL2003
5295,2028626802.5106199,GRL2004
5296,2126686936.57652,GRL2005
5297,2244839174.26788,GRL2006
5298,2297647623.61978,GRL2007
5299,2439323625.11335,GRL2008
5300,2460447004.8541102,GRL2009
5301,2503156060.52524,GRL2010
5302,2490727405.2737303,GRL2011
5303,2525452961.36271,GRL2012
5304,2482655002.57819,GRL2013
5305,2614551661.5991898,GRL2014
5306,2622659625.5400896,GRL2015
5307,2823634003.6628103,GRL2016
5308,,GRL2017
5309,,GRL2018
5310,6155111411.30125,GTM1960
5311,6419690004.64345,GTM1961
5312,6646722422.7784395,GTM1962
5313,7280889128.99105,GTM1963
5314,7618212171.35099,GTM1964
5315,7950501012.20709,GTM1965
5316,8388740895.66175,GTM1966
5317,8733700653.363691,GTM1967
5318,9499299914.18782,GTM1968
5319,9949273108.213629,GTM1969
5320,10517166036.1767,GTM1970
5321,11104418773.2262,GTM1971
5322,11918711534.0403,GTM1972
5323,12727137991.8733,GTM1973
5324,13538496844.7786,GTM1974
5325,13802496291.182,GTM1975
5326,14822123354.7612,GTM1976
5327,15979615677.7433,GTM1977
5328,16778067507.7026,GTM1978
5329,17568894351.9832,GTM1979
5330,18229480943.2636,GTM1980
5331,18347399910.4207,GTM1981
5332,17699720362.8101,GTM1982
5333,17244467369.6861,GTM1983
5334,17330120250.8673,GTM1984
5335,17224521077.4405,GTM1985
5336,17249160685.6251,GTM1986
5337,17860468060.5363,GTM1987
5338,18555666608.2582,GTM1988
5339,19287240375.0762,GTM1989
5340,19885639193.4813,GTM1990
5341,20613105340.0157,GTM1991
5342,21610437215.2109,GTM1992
5343,22459107608.6121,GTM1993
5344,23365049947.6536,GTM1994
5345,24521280544.3394,GTM1995
5346,25246566051.1583,GTM1996
5347,26348348898.3868,GTM1997
5348,27664061031.6122,GTM1998
5349,28728314655.6908,GTM1999
5350,29765081824.3033,GTM2000
5351,30459375065.0446,GTM2001
5352,31637124683.7635,GTM2002
5353,32437793855.0109,GTM2003
5354,33460259674.7175,GTM2004
5355,34551101284.6611,GTM2005
5356,36409873403.3563,GTM2006
5357,38705172408.0366,GTM2007
5358,39975120007.4909,GTM2008
5359,40185406335.126,GTM2009
5360,41338521642.0274,GTM2010
5361,43059051146.4009,GTM2011
5362,44337843574.8185,GTM2012
5363,45977273284.397,GTM2013
5364,47896442435.6762,GTM2014
5365,49879376398.5391,GTM2015
5366,51421887413.549,GTM2016
5367,52841305560.8527,GTM2017
5368,,GTM2018
5369,,GUM1960
5370,,GUM1961
5371,,GUM1962
5372,,GUM1963
5373,,GUM1964
5374,,GUM1965
5375,,GUM1966
5376,,GUM1967
5377,,GUM1968
5378,,GUM1969
5379,,GUM1970
5380,,GUM1971
5381,,GUM1972
5382,,GUM1973
5383,,GUM1974
5384,,GUM1975
5385,,GUM1976
5386,,GUM1977
5387,,GUM1978
5388,,GUM1979
5389,,GUM1980
5390,,GUM1981
5391,,GUM1982
5392,,GUM1983
5393,,GUM1984
5394,,GUM1985
5395,,GUM1986
5396,,GUM1987
5397,,GUM1988
5398,,GUM1989
5399,,GUM1990
5400,,GUM1991
5401,,GUM1992
5402,,GUM1993
