,gdp_cons,map
254,1428402113.57242,AND1978
255,1428995717.42599,AND1979
256,1460558340.33864,AND1980
257,1458623472.81247,AND1981
258,1476804647.19237,AND1982
259,1502945836.7576401,AND1983
260,1529768711.11779,AND1984
261,1565281267.29392,AND1985
262,1616204903.65455,AND1986
263,1705857764.18649,AND1987
264,1792759723.25732,AND1988
265,1879296849.01283,AND1989
266,1950360346.83369,AND1990
267,2000016577.2760103,AND1991
268,2018600970.4398198,AND1992
269,1997779424.1846898,AND1993
270,2045390257.51495,AND1994
271,2101791877.24365,AND1995
272,2199519738.0030303,AND1996
273,2398964977.7997603,AND1997
274,2475606878.11635,AND1998
275,2577084005.24761,AND1999
276,2668012839.88281,AND2000
277,2789321202.45229,AND2001
278,2969818586.6794896,AND2002
279,3331207491.64175,AND2003
280,3585973903.04456,AND2004
281,3851227772.8302603,AND2005
282,4025933064.0290003,AND2006
283,4027543882.8002295,AND2007
284,3681577710.754,AND2008
285,3545703433.7638297,AND2009
286,3355695364.23841,AND2010
287,3199771534.4574103,AND2011
288,3148088242.81882,AND2012
289,3159158337.7785397,AND2013
290,3231113955.01675,AND2014
291,3258326510.4285803,AND2015
292,3319880351.13342,AND2016
293,3382068237.5248103,AND2017
294,,AND2018
295,,ARB1960
296,,ARB1961
297,,ARB1962
298,,ARB1963
299,,ARB1964
300,,ARB1965
301,,ARB1966
302,,ARB1967
303,,ARB1968
304,,ARB1969
305,,ARB1970
306,,ARB1971
307,,ARB1972
308,,ARB1973
309,,ARB1974
310,570012476398.311,ARB1975
311,660188671586.291,ARB1976
312,714571547934.568,ARB1977
313,709832801018.468,ARB1978
314,791701029538.523,ARB1979
315,864056524679.602,ARB1980
316,889268030377.212,ARB1981
317,808579822638.048,ARB1982
318,753285530602.48,ARB1983
319,763601611533.374,ARB1984
320,746098555427.707,ARB1985
321,781205753901.1859,ARB1986
322,777344797740.1709,ARB1987
323,820932066763.2379,ARB1988
324,840387927996.256,ARB1989
325,950576159197.12,ARB1990
326,965038850349.4441,ARB1991
327,1013181525778.51,ARB1992
328,1046248223450.27,ARB1993
